,BEA_sector,date,vraw,uraw,eraw,U_monthly,v,u,e
211,Health care and social assistance,2001-02-01,750,348,12954.4,5275,0.00546630496734065,0.0025363655048460617,0.09441693475855696
212,Information,2001-02-01,197,106,3716.0,5275,0.0014358161047548109,0.0007725711020508119,0.027083719011517144
213,Mining,2001-02-01,8,23,605.0,5275,5.830725298496694e-05,0.00016763335233177995,0.004409486006988125
214,Nondurable goods,2001-02-01,128,364,6266.0,5275,0.0009329160477594711,0.0026529800108159958,0.04566915590047536
215,"Other services, except government",2001-02-01,159,218,5198.0,5275,0.0011588566530762179,0.0015888726438403492,0.03788513762698227
216,Professional and business services,2001-02-01,793,681,16793.0,5275,0.005779706452134848,0.004963404910345311,0.12239421242206873
217,Real estate and rental and leasing,2001-02-01,27,74,2043.4,5275,0.00019678697882426343,0.0005393420901109442,0.014893130093685182
218,Retail trade,2001-02-01,519,750,15379.2,5275,0.0037826830373997302,0.00546630496734065,0.11208986313830045
219,Transportation and warehousing,2001-02-01,146,169,4436.1,5275,0.0010641073669756466,0.0012317407193074266,0.03233210062082648
220,Wholesale trade,2001-02-01,207,163,5841.5,5275,0.0015087001709860196,0.0011880102795687015,0.04257522728896055
187,Accommodation and food services,2001-03-01,569,664,10195.1,5438,0.00414306309979758,0.00483478716742635,0.07423364254612708
188,"Arts, entertainment, and recreation",2001-03-01,109,112,1804.5,5438,0.0007936623512793255,0.0008155062692044445,0.013139116631959108
189,Construction,2001-03-01,195,548,6862.0,5438,0.0014198546651327383,0.0039901556743217464,0.049964321600722304
190,Durable goods,2001-03-01,250,530,10693.0,5438,0.0018203264937599207,0.003859092166771032,0.07785900479109933
191,Educational services,2001-03-01,46,128,2474.7,5438,0.0003349400748518254,0.0009320071648050794,0.018019047896430704
192,Finance and insurance,2001-03-01,253,158,5749.5,5438,0.0018421704116850398,0.0011504463440562699,0.04186386870349066
193,Government,2001-03-01,476,383,20945.0,5438,0.0034659016441188893,0.002788740188440199,0.15250695364720615
194,Health care and social assistance,2001-03-01,740,358,12991.5,5438,0.005388166421529366,0.0026067075390642067,0.09459508657472804
195,Information,2001-03-01,187,143,3717.0,5438,0.0013616042173324207,0.0010412267544306747,0.027064614309222502
196,Mining,2001-03-01,17,15,609.0,5438,0.00012378220157567462,0.00010921958962559524,0.004434315338799167
197,Nondurable goods,2001-03-01,152,338,6246.0,5438,0.0011067585082060317,0.002461081419563413,0.04547903712009786
198,"Other services, except government",2001-03-01,158,189,5201.0,5438,0.0011504463440562699,0.0013761668292825002,0.03787007237618139
199,Professional and business services,2001-03-01,1040,635,16756.0,5438,0.00757255821404127,0.004623629294150199,0.12200556291776493
200,Real estate and rental and leasing,2001-03-01,77,57,2045.8,5438,0.0005606605600780556,0.00041503444057726195,0.014896095763736183
201,Retail trade,2001-03-01,430,806,15347.3,5438,0.003130961569267064,0.005868732615881985,0.11174838719072652
202,Transportation and warehousing,2001-03-01,129,176,4441.1,5438,0.0009392884707801191,0.0012815098516069843,0.03233700796574874
203,Wholesale trade,2001-03-01,158,198,5821.5,5438,0.0011504463440562699,0.0014416985830578574,0.042388122733693516
136,Accommodation and food services,2001-04-01,547,672,10211.1,5346,0.003993703528477223,0.004906341446319368,0.07455229634302336
137,"Arts, entertainment, and recreation",2001-04-01,53,86,1828.7,5346,0.0003869584771650692,0.0006278948874753953,0.013351527682863434
138,Construction,2001-04-01,233,558,6844.0,5346,0.001701157078857757,0.004074015665247332,0.04996875127769308
139,Durable goods,2001-04-01,228,503,10595.0,5346,0.0016646515621440712,0.0036724549813967884,0.07735518991630015
140,Educational services,2001-04-01,55,74,2481.0,5346,0.0004015606838505435,0.0005402816473625494,0.018114037393330878
141,Finance and insurance,2001-04-01,236,169,5754.9,5346,0.0017230603888859683,0.001233886464922579,0.042017119627118044
142,Government,2001-04-01,499,442,20992.0,5346,0.00364325056802584,0.003227087677489822,0.15326476137073833
143,Health care and social assistance,2001-04-01,655,294,13026.4,5346,0.004782222689492836,0.0021465243827647235,0.09510709258383127
144,Information,2001-04-01,204,151,3686.0,5346,0.0014894250819183794,0.0011024666047533102,0.02691186692132915
145,Mining,2001-04-01,30,23,608.0,5346,0.00021903310028211463,0.00016792537688295453,0.00443907083238419
146,Nondurable goods,2001-04-01,94,334,6208.0,5346,0.0006863037142172925,0.0024385685164742097,0.04532524955171225
147,"Other services, except government",2001-04-01,196,221,5219.0,5346,0.0014310162551764822,0.001613543838744911,0.038104458345745204
148,Professional and business services,2001-04-01,834,684,16638.0,5346,0.006089120187842786,0.004993954686432213,0.12147575741646077
149,Real estate and rental and leasing,2001-04-01,52,71,2044.6,5346,0.000379657373822332,0.000518378337334338,0.014927835894560385
150,Retail trade,2001-04-01,549,697,15256.1,5346,0.004008305735162697,0.0050888690298877964,0.1113863627071323
151,Transportation and warehousing,2001-04-01,147,237,4421.4,5346,0.0010732621913823617,0.0017303614922287056,0.03228109831957805
152,Wholesale trade,2001-04-01,199,130,5805.4,5346,0.0014529195652046936,0.0009491434345558301,0.04238582534592627
102,Accommodation and food services,2001-05-01,520,654,10229.2,5450,0.003794911315841711,0.004772830770308613,0.07465174390770776
103,"Arts, entertainment, and recreation",2001-05-01,65,98,1839.2,5450,0.0004743639144802139,0.0007151948249086302,0.013422309407877068
104,Construction,2001-05-01,223,573,6849.0,5450,0.0016274331219859647,0.004181700353802501,0.049983360773461306
105,Durable goods,2001-05-01,207,617,10489.0,5450,0.0015106666199600658,0.004502808234373722,0.07654773998435328
106,Educational services,2001-05-01,62,68,2516.5,5450,0.00045247019535035786,0.00049625763361007,0.018365181396760896
107,Finance and insurance,2001-05-01,255,126,5766.8,5450,0.0018609661260377622,0.0009195362034539531,0.04208556649268458
108,Government,2001-05-01,500,412,21029.0,5450,0.0036489531883093377,0.003006737427166894,0.15346767319391413
109,Health care and social assistance,2001-05-01,728,352,13065.1,5450,0.0053128758421783955,0.002568863044569774,0.09534787660116066
110,Information,2001-05-01,120,165,3662.0,5450,0.0008757487651942411,0.0012041545521420814,0.02672493315117759
111,Mining,2001-05-01,8,36,609.0,5450,5.8383251012949406e-05,0.0002627246295582723,0.004444424983360774
112,Nondurable goods,2001-05-01,105,324,6173.0,5450,0.0007662801695449609,0.002364521666024451,0.045049976062867085
113,"Other services, except government",2001-05-01,187,190,5238.0,5450,0.0013647084924276922,0.0013866022115575484,0.038226433600728624
114,Professional and business services,2001-05-01,835,668,16596.0,5450,0.006093751824476594,0.004875001459581275,0.12111605422636354
115,Real estate and rental and leasing,2001-05-01,68,66,2042.3,5450,0.00049625763361007,0.0004816618208568326,0.01490451419296832
116,Retail trade,2001-05-01,465,755,15261.4,5450,0.003393526465127684,0.0055099193143471,0.11137626837612825
117,Transportation and warehousing,2001-05-01,122,197,4420.1,5450,0.0008903445779474783,0.0014376875561938791,0.03225747597529221
118,Wholesale trade,2001-05-01,110,149,5790.0,5450,0.0008027697014280543,0.0010873880501161826,0.04225487792062213
51,Accommodation and food services,2001-06-01,464,673,10240.5,5644,0.003384632891337237,0.004909176585926638,0.07469899380116159
52,"Arts, entertainment, and recreation",2001-06-01,59,87,1835.4,5644,0.0004303735788553814,0.0006346186671257319,0.013388265536121475
53,Construction,2001-06-01,192,555,6840.0,5644,0.0014005377481395463,0.004048429428215876,0.04989415727747133
54,Durable goods,2001-06-01,235,623,10384.0,5644,0.0017141998479832988,0.004544453214015299,0.07574574987854713
55,Educational services,2001-06-01,48,80,2498.0,5644,0.00035013443703488657,0.0005835573950581442,0.018221579660690556
56,Finance and insurance,2001-06-01,266,155,5779.2,5644,0.0019403283385683297,0.0011306424529251545,0.042156186219000344
57,Government,2001-06-01,559,445,21137.0,5644,0.004077607297968783,0.0032460380100109276,0.15418315824179996
58,Health care and social assistance,2001-06-01,724,346,13115.1,5644,0.005281194425276206,0.002523885733626474,0.09566766989908836
59,Information,2001-06-01,114,173,3642.0,5644,0.0008315692879578556,0.001261942866813237,0.026566450410022018
60,Mining,2001-06-01,18,24,610.0,5644,0.00013130041388808246,0.00017506721851744329,0.00444962513731835
61,Nondurable goods,2001-06-01,111,347,6132.0,5644,0.0008096858856431752,0.002531180201064701,0.04472967433120676
62,"Other services, except government",2001-06-01,240,233,5250.0,5644,0.0017506721851744329,0.0016996109131068452,0.038295954050690716
63,Professional and business services,2001-06-01,746,690,16525.0,5644,0.005441672708917196,0.005033182532376494,0.12054107441669792
64,Real estate and rental and leasing,2001-06-01,44,71,2031.6,5644,0.0003209565672819794,0.000517907188114103,0.014819440047501574
65,Retail trade,2001-06-01,435,755,15256.8,5644,0.0031730933356286595,0.005507322915861237,0.11129023081153869
66,Transportation and warehousing,2001-06-01,124,236,4399.3,5644,0.0009045139623401236,0.0017214943154215255,0.032090550600991176
67,Wholesale trade,2001-06-01,134,151,5770.3,5644,0.0009774586367223917,0.0011014645831722474,0.042091265458800126
119,Accommodation and food services,2001-07-01,511,670,10265.7,5782,0.003727097677675341,0.004886801260357101,0.07487527716186253
120,"Arts, entertainment, and recreation",2001-07-01,88,133,1844.1,5782,0.0006418485237483953,0.0009700665188470067,0.01345037343914109
121,Construction,2001-07-01,189,578,6845.0,5782,0.0013785155794141673,0.004215777803711051,0.04992560392111098
122,Durable goods,2001-07-01,197,656,10281.0,5782,0.0014368654452094761,0.004784688995215311,0.07498687128019606
123,Educational services,2001-07-01,49,98,2509.5,5782,0.0003573929279962656,0.0007147858559925312,0.01830362352666589
124,Finance and insurance,2001-07-01,222,189,5765.2,5782,0.0016192087758198155,0.0013785155794141673,0.042049830785389194
125,Government,2001-07-01,502,423,21185.0,5782,0.003661454078655619,0.003085249153926946,0.15451773835920177
126,Health care and social assistance,2001-07-01,746,355,13159.6,5782,0.005441124985412533,0.0025892752946668224,0.095982611739993
127,Information,2001-07-01,113,209,3619.0,5782,0.000824191854358735,0.001524390243902439,0.02639602053915276
128,Mining,2001-07-01,17,16,610.0,5782,0.00012399346481503092,0.00011669973159061734,0.004449177266892286
129,Nondurable goods,2001-07-01,108,377,6097.0,5782,0.0007877231882366671,0.002749737425603921,0.04446989146924962
130,"Other services, except government",2001-07-01,270,205,5268.0,5782,0.001969307970591668,0.0014952153110047847,0.03842338662621076
131,Professional and business services,2001-07-01,622,744,16473.0,5782,0.004536702065585249,0.005426537518963707,0.12014966740576496
132,Real estate and rental and leasing,2001-07-01,61,84,2033.5,5782,0.0004449177266892286,0.000612673590850741,0.014831806511845022
133,Retail trade,2001-07-01,408,670,15206.1,5782,0.0029758431555607424,0.004886801260357101,0.1109092367837554
134,Transportation and warehousing,2001-07-01,134,239,4399.2,5782,0.0009773602520714202,0.0017432022406348466,0.03208659120084024
135,Wholesale trade,2001-07-01,122,136,5761.1,5782,0.0008898354533784572,0.0009919477185202474,0.0420199264791691
170,Accommodation and food services,2001-08-01,533,644,10248.0,6243,0.0038790521721600497,0.004686884800883812,0.07458260161406415
171,"Arts, entertainment, and recreation",2001-08-01,61,141,1844.7,6243,0.00044394405722657227,0.0010261657716220769,0.013425304956817343
172,Construction,2001-08-01,111,640,6827.0,6243,0.0008078326287237627,0.004657773715164037,0.049685345552226375
173,Durable goods,2001-08-01,162,684,10188.0,6243,0.0011789989716508968,0.004977995658081565,0.0741459353282675
174,Educational services,2001-08-01,56,127,2526.6,6243,0.00040755520007685323,0.0009242769716028636,0.018388017294896024
175,Finance and insurance,2001-08-01,204,166,5787.4,6243,0.0014846653717085368,0.001208110057370672,0.04211937437365679
176,Government,2001-08-01,500,438,21218.0,6243,0.003638885714971904,0.0031876638863153877,0.1544197542005477
177,Health care and social assistance,2001-08-01,866,380,13203.6,6243,0.006302550058331338,0.002765553143378647,0.09609278285240606
178,Information,2001-08-01,105,210,3599.0,6243,0.0007641660001440998,0.0015283320002881997,0.026192699376367763
179,Mining,2001-08-01,15,26,608.0,6243,0.00010916657144915711,0.000189222057178539,0.004424885029405835
180,Nondurable goods,2001-08-01,115,384,6037.0,6243,0.0008369437144435379,0.002794664229098422,0.04393590612257077
181,"Other services, except government",2001-08-01,271,223,5279.0,6243,0.001972276057514772,0.0016229430288774692,0.03841935537867336
182,Professional and business services,2001-08-01,594,868,16406.0,6243,0.004322996229386622,0.006317105601191225,0.11939911807965811
183,Real estate and rental and leasing,2001-08-01,75,84,2036.1,6243,0.0005458328572457855,0.0006113328001152798,0.014818270408508586
184,Retail trade,2001-08-01,404,802,15205.5,6243,0.0029402196576972985,0.0058367726868149335,0.11066215347801057
185,Transportation and warehousing,2001-08-01,118,261,4394.1,6243,0.0008587770287333693,0.0018994983432153339,0.03197925544031609
186,Wholesale trade,2001-08-01,105,165,5753.7,6243,0.0007641660001440998,0.0012008322859407283,0.04187411347646768
153,Accommodation and food services,2001-09-01,560,811,10227.8,6409,0.004077807479427098,0.0059055390460988864,0.07447678453229369
154,"Arts, entertainment, and recreation",2001-09-01,78,164,1833.6,6409,0.0005679803274916315,0.001194215047546507,0.013351906775495583
155,Construction,2001-09-01,148,618,6813.0,6409,0.0010777062624200188,0.004500151825510618,0.049610897066672884
156,Durable goods,2001-09-01,189,715,10111.0,6409,0.0013762600243066455,0.005206486335339955,0.07362627040087033
157,Educational services,2001-09-01,55,95,2545.2,6409,0.00040049894887230424,0.0006917709116885255,0.018533634993996156
158,Finance and insurance,2001-09-01,217,193,5784.8,6409,0.0015801503982780004,0.0014053872205882676,0.04212375126248192
159,Government,2001-09-01,443,434,21242.0,6409,0.0032258369881896505,0.003160300796556001,0.1546799758535543
160,Health care and social assistance,2001-09-01,703,375,13238.2,6409,0.005119104746495089,0.0027306746514020744,0.09639791245384251
161,Information,2001-09-01,75,223,3584.0,6409,0.0005461349302804149,0.0016238411927004335,0.026097967868333426
162,Mining,2001-09-01,12,27,607.0,6409,8.738158884486638e-05,0.00019660857490094935,0.004420052035736158
163,Nondurable goods,2001-09-01,124,368,6002.0,6409,0.000902943084730286,0.0026797020579092355,0.043705358020574
164,"Other services, except government",2001-09-01,269,240,5293.0,6409,0.001958803949939088,0.0017476317768973276,0.03854256247965648
165,Professional and business services,2001-09-01,646,851,16327.0,6409,0.004704042199481974,0.006196811008915107,0.11888993342251111
166,Real estate and rental and leasing,2001-09-01,62,77,2041.1,6409,0.000451471542365143,0.0005606985284212259,0.01486288008260473
167,Retail trade,2001-09-01,363,798,15191.5,6409,0.002643293062557208,0.0058108756581836144,0.11062145057806563
168,Transportation and warehousing,2001-09-01,124,238,4334.9,6409,0.000902943084730286,0.0017330681787565165,0.03156587079030094
169,Wholesale trade,2001-09-01,101,182,5743.6,6409,0.0007354617061109587,0.0013252874308138068,0.04182374114078121
68,Accommodation and food services,2001-10-01,381,767,10181.4,6742,0.002774211916295983,0.005584830813120785,0.07413480631122289
69,"Arts, entertainment, and recreation",2001-10-01,59,172,1833.2,6742,0.0004296023702400604,0.0012524001301913625,0.01334825534108608
70,Construction,2001-10-01,126,654,6804.0,6742,0.0009174559093262307,0.004762033053169483,0.04954261910361645
71,Durable goods,2001-10-01,145,769,10001.0,6742,0.0010558024353357416,0.005599393605332312,0.07282124245374312
72,Educational services,2001-10-01,56,79,2547.2,6742,0.0004077581819227692,0.0005752302923553351,0.018547172160601387
73,Finance and insurance,2001-10-01,187,213,5790.6,6742,0.0013616210717778184,0.0015509373705276757,0.04216365229003549
74,Government,2001-10-01,461,452,21275.0,6742,0.003356723604757082,0.0032911910398052083,0.15491170215012348
75,Health care and social assistance,2001-10-01,716,429,13274.5,6742,0.005213479611726834,0.0031237189293726424,0.0966568926059607
76,Information,2001-10-01,61,245,3556.0,6742,0.0004441651624515879,0.0017839420459121152,0.025892644552095844
77,Mining,2001-10-01,13,32,602.0,6742,9.465814937492856e-05,0.00023300467538443954,0.004383400455669768
78,Nondurable goods,2001-10-01,117,373,5970.0,6742,0.000851923344374357,0.002715960747449873,0.0434699347514095
79,"Other services, except government",2001-10-01,220,248,5298.0,6742,0.0016019071432680219,0.0018057862342294065,0.03857683656833627
80,Professional and business services,2001-10-01,510,926,16225.0,6742,0.003713512013939505,0.0067425727939372185,0.1181406518160166
81,Real estate and rental and leasing,2001-10-01,57,72,2038.4,6742,0.00041503957802853294,0.000524260519614989,0.014842397821988798
82,Retail trade,2001-10-01,362,827,15170.1,6742,0.0026358653902864722,0.006021714579466609,0.11045950706404645
83,Transportation and warehousing,2001-10-01,116,325,4300.4,6742,0.0008446419482685933,0.002366453734373214,0.031312915813226365
84,Wholesale trade,2001-10-01,137,159,5727.5,6742,0.0009975512664896317,0.0011577419808164338,0.041704196195761795
85,Accommodation and food services,2001-11-01,424,753,10167.5,7021,0.0030876401908802465,0.005483474206917042,0.07404146613390308
86,"Arts, entertainment, and recreation",2001-11-01,69,180,1817.0,7021,0.0005024697480441911,0.0013107906470718029,0.013231703365163699
87,Construction,2001-11-01,138,729,6784.0,7021,0.0010049394960883822,0.005308702120640801,0.049402243054083944
88,Durable goods,2001-11-01,125,751,9894.0,7021,0.000910271282688752,0.005468909866394022,0.07204979256738009
89,Educational services,2001-11-01,38,110,2554.8,7021,0.0002767224699373806,0.0008010387287661017,0.01860448858410579
90,Finance and insurance,2001-11-01,186,276,5804.7,7021,0.0013544836686408628,0.0020098789921767645,0.04227081371698719
91,Government,2001-11-01,453,456,21326.0,7021,0.003298823128464037,0.0033206696392485673,0.1552995629969626
92,Health care and social assistance,2001-11-01,671,431,13306.4,7021,0.0048863362454732205,0.0031386153827108166,0.09689947036775687
93,Information,2001-11-01,97,239,3535.0,7021,0.0007063705153664715,0.0017404386925008938,0.025742471874437907
94,Mining,2001-11-01,6,22,600.0,7021,4.369302156906009e-05,0.00016020774575322035,0.004369302156906009
95,Nondurable goods,2001-11-01,104,398,5931.0,7021,0.0007573457071970416,0.002898303764080986,0.0431905518210159
96,"Other services, except government",2001-11-01,160,265,5314.0,7021,0.0011651472418416026,0.001929775119300154,0.03869745276966422
97,Professional and business services,2001-11-01,561,949,16114.0,7021,0.004085297516707119,0.006910779578173005,0.11734489159397239
98,Real estate and rental and leasing,2001-11-01,65,59,2038.6,7021,0.000473341066998151,0.0004296480454290909,0.014845432295114317
99,Retail trade,2001-11-01,354,902,15150.4,7021,0.0025778882725745454,0.006568517575882034,0.11032779232998134
100,Transportation and warehousing,2001-11-01,108,317,4253.7,7021,0.0007864743882430817,0.0023084479728986747,0.030976167641385152
101,Wholesale trade,2001-11-01,104,184,5709.6,7021,0.0007573457071970416,0.001339919328117843,0.04157827932511759
17,Accommodation and food services,2001-12-01,412,872,10158.3,7298,0.002998068719810103,0.006345426999209733,0.07392058610788099
18,"Arts, entertainment, and recreation",2001-12-01,56,166,1809.1,7298,0.000407504486187781,0.0012079597269137794,0.013164577963612761
19,Construction,2001-12-01,119,724,6785.0,7298,0.0008659470331490347,0.005268450857142026,0.049373534621144535
20,Durable goods,2001-12-01,139,792,9809.0,7298,0.0010114843496446706,0.005763277733227189,0.07137877687528471
21,Educational services,2001-12-01,43,107,2564.8,7298,0.00031290523046561755,0.000778624643251653,0.01866370546740037
22,Finance and insurance,2001-12-01,179,212,5803.1,7298,0.001302558982635943,0.0015426955548537423,0.04222838006779129
23,Government,2001-12-01,447,469,21355.0,7298,0.0032527590236774663,0.003412850071822666,0.1553974696882154
24,Health care and social assistance,2001-12-01,686,434,13349.7,7298,0.004991929955800317,0.003158159767955303,0.09714397570108965
25,Information,2001-12-01,106,258,3521.0,7298,0.0007713477774268712,0.0018774313827937053,0.02562184456905673
26,Mining,2001-12-01,16,26,598.0,7298,0.00011642985319650886,0.0001891985114443269,0.004351565763219519
27,Nondurable goods,2001-12-01,83,407,5901.0,7298,0.0006039798634568897,0.0029616843906861944,0.042940785232037426
28,"Other services, except government",2001-12-01,201,334,5333.0,7298,0.0014626500307811426,0.0024304731854771226,0.03880752544356136
29,Professional and business services,2001-12-01,518,931,16079.0,7298,0.0037694164972369745,0.00677476208287186,0.11700472559666662
30,Real estate and rental and leasing,2001-12-01,39,74,2031.5,7298,0.00028379776716649035,0.0005384880710338534,0.014782952923044235
31,Retail trade,2001-12-01,369,946,15091.7,7298,0.0026851634893444855,0.006883915070243586,0.10982027596785955
32,Transportation and warehousing,2001-12-01,103,316,4239.9,7298,0.0007495171799525258,0.00229948960063105,0.03085318341049237
33,Wholesale trade,2001-12-01,93,230,5694.7,7298,0.0006767485217047078,0.0016736791396998148,0.041439567812384934
306,Accommodation and food services,2002-01-01,371,742,10196.2,7303,0.0027022302504115256,0.005404460500823051,0.07426544495753638
307,"Arts, entertainment, and recreation",2002-01-01,60,152,1809.3,7303,0.0004370183693387912,0.0011071132023249377,0.013178288927411248
308,Construction,2002-01-01,113,846,6775.0,7303,0.0008230512622547235,0.006161959007676956,0.049346657537838505
309,Durable goods,2002-01-01,154,809,9719.0,7303,0.0011216804813028974,0.005892464346584701,0.07078969219339519
310,Educational services,2002-01-01,57,115,2579.0,7303,0.00041516745087185166,0.0008376185412326832,0.018784506242079044
311,Finance and insurance,2002-01-01,264,187,5805.4,7303,0.0019228808250906814,0.0013620405844392326,0.04228444068932364
312,Government,2002-01-01,400,489,21377.0,7303,0.0029134557955919414,0.0035616997101111485,0.15570236135592233
313,Health care and social assistance,2002-01-01,698,460,13382.9,7303,0.005083980363307938,0.0033504741649307327,0.09747621891706848
314,Information,2002-01-01,99,258,3495.0,7303,0.0007210803094090055,0.0018791789881568023,0.02545632001398459
315,Mining,2002-01-01,14,28,599.0,7303,0.00010197095284571795,0.0002039419056914359,0.0043629000538989325
316,Nondurable goods,2002-01-01,106,434,5879.0,7303,0.0007720657858318645,0.0031610995382172565,0.042820516555712555
317,"Other services, except government",2002-01-01,175,309,5343.0,7303,0.0012746369105714743,0.0022506446020947746,0.03891648578961936
318,Professional and business services,2002-01-01,561,967,16021.0,7303,0.004086121753317698,0.007043279385843518,0.11669118825294623
319,Real estate and rental and leasing,2002-01-01,55,91,2034.7,7303,0.00040060017189389195,0.0006628111934971667,0.014820021268227308
320,Retail trade,2002-01-01,374,925,15071.3,7303,0.002724081168878465,0.006737366527306364,0.10977391583026205
321,Transportation and warehousing,2002-01-01,94,307,4216.5,7303,0.0006846621119641062,0.002236077323116815,0.030711465905283553
322,Wholesale trade,2002-01-01,100,184,5687.7,7303,0.0007283639488979854,0.001340189665972293,0.04142715632147071
408,Accommodation and food services,2002-02-01,359,727,10161.2,7302,0.0026176388023026473,0.005300900861487533,0.0740901153146453
409,"Arts, entertainment, and recreation",2002-02-01,65,160,1800.7,7302,0.00047394574414950436,0.0011666356779064723,0.013129755407538654
410,Construction,2002-02-01,107,751,6766.0,7302,0.0007801876095999533,0.005475896213173504,0.049334106229469946
411,Durable goods,2002-02-01,146,835,9668.0,7302,0.001064555056089656,0.0060883799440744025,0.07049396083749859
412,Educational services,2002-02-01,67,116,2596.4,7302,0.0004885286901233352,0.0008458108664821924,0.01893158046322728
413,Finance and insurance,2002-02-01,139,205,5798.3,7302,0.0010135147451812477,0.0014947519623176675,0.042278147820031864
414,Government,2002-02-01,451,574,21390.0,7302,0.0032884543170988685,0.00418530549448947,0.1559646071901215
415,Health care and social assistance,2002-02-01,683,473,13414.2,7302,0.004980076050063254,0.0034488667228110086,0.09780927694108126
