Industry,Date,Unemployment,Vacancy,Hires,Tightness
Durable goods manufacturing,2008-11-01,729.0,107.0,133.0,0.1467764060356653
Durable goods manufacturing,2008-12-01,839.0,92.0,161.0,0.10965435041716329
Durable goods manufacturing,2009-01-01,1157.0,54.0,95.0,0.046672428694900604
Durable goods manufacturing,2009-02-01,1219.0,72.0,142.0,0.05906480721903199
Durable goods manufacturing,2009-03-01,1307.0,60.0,140.0,0.045906656465187455
Durable goods manufacturing,2009-04-01,1278.0,42.0,118.0,0.03286384976525822
Durable goods manufacturing,2009-05-01,1320.0,48.0,67.0,0.03636363636363636
Durable goods manufacturing,2009-06-01,1377.0,45.0,90.0,0.032679738562091505
Durable goods manufacturing,2009-07-01,1379.0,42.0,130.0,0.030456852791878174
Durable goods manufacturing,2009-08-01,1297.0,57.0,124.0,0.04394757131842714
Durable goods manufacturing,2009-09-01,1280.0,70.0,143.0,0.0546875
Durable goods manufacturing,2009-10-01,1265.0,67.0,120.0,0.052964426877470355
Durable goods manufacturing,2009-11-01,1219.0,79.0,134.0,0.06480721903199343
Durable goods manufacturing,2009-12-01,1245.0,94.0,138.0,0.07550200803212852
Durable goods manufacturing,2010-01-01,1318.0,79.0,133.0,0.05993930197268589
Durable goods manufacturing,2010-02-01,1276.0,101.0,140.0,0.07915360501567398
Durable goods manufacturing,2010-03-01,1289.0,95.0,140.0,0.07370054305663305
Durable goods manufacturing,2010-04-01,1100.0,109.0,161.0,0.09909090909090909
Durable goods manufacturing,2010-05-01,1028.0,122.0,145.0,0.11867704280155641
Durable goods manufacturing,2010-06-01,1002.0,128.0,145.0,0.1277445109780439
Durable goods manufacturing,2010-07-01,1028.0,142.0,162.0,0.13813229571984437
Durable goods manufacturing,2010-08-01,984.0,128.0,154.0,0.13008130081300814
Durable goods manufacturing,2010-09-01,937.0,128.0,144.0,0.13660618996798293
Durable goods manufacturing,2010-10-01,937.0,138.0,151.0,0.1472785485592316
Durable goods manufacturing,2010-11-01,991.0,168.0,159.0,0.16952573158425832
Durable goods manufacturing,2010-12-01,999.0,135.0,155.0,0.13513513513513514
Durable goods manufacturing,2011-01-01,955.0,145.0,153.0,0.1518324607329843
Durable goods manufacturing,2011-02-01,989.0,142.0,163.0,0.1435793731041456
Durable goods manufacturing,2011-03-01,957.0,142.0,152.0,0.148380355276907
Durable goods manufacturing,2011-04-01,951.0,148.0,148.0,0.15562565720294427
Durable goods manufacturing,2011-05-01,920.0,141.0,158.0,0.1532608695652174
