BEA_sector,date,v,u,U_monthly
Real estate and rental and leasing,2001-04-01,52,71,5346
Retail trade,2001-04-01,549,697,5346
Transportation and warehousing,2001-04-01,147,237,5346
Wholesale trade,2001-04-01,199,130,5346
Accommodation and food services,2001-09-01,560,811,6409
"Arts, entertainment, and recreation",2001-09-01,78,164,6409
Construction,2001-09-01,148,618,6409
Durable goods,2001-09-01,189,715,6409
Educational services,2001-09-01,55,95,6409
Finance and insurance,2001-09-01,217,193,6409
Government,2001-09-01,443,434,6409
Health care and social assistance,2001-09-01,703,375,6409
Information,2001-09-01,75,223,6409
Mining,2001-09-01,12,27,6409
Nondurable goods,2001-09-01,124,368,6409
"Other services, except government",2001-09-01,269,240,6409
Professional and business services,2001-09-01,646,851,6409
Real estate and rental and leasing,2001-09-01,62,77,6409
Retail trade,2001-09-01,363,798,6409
Transportation and warehousing,2001-09-01,124,238,6409
Wholesale trade,2001-09-01,101,182,6409
Accommodation and food services,2001-08-01,533,644,6243
"Arts, entertainment, and recreation",2001-08-01,61,141,6243
Construction,2001-08-01,111,640,6243
Durable goods,2001-08-01,162,684,6243
Educational services,2001-08-01,56,127,6243
Finance and insurance,2001-08-01,204,166,6243
Government,2001-08-01,500,438,6243
Health care and social assistance,2001-08-01,866,380,6243
Information,2001-08-01,105,210,6243
Mining,2001-08-01,15,26,6243
Nondurable goods,2001-08-01,115,384,6243
"Other services, except government",2001-08-01,271,223,6243
Professional and business services,2001-08-01,594,868,6243
Real estate and rental and leasing,2001-08-01,75,84,6243
Retail trade,2001-08-01,404,802,6243
Transportation and warehousing,2001-08-01,118,261,6243
Wholesale trade,2001-08-01,105,165,6243
Accommodation and food services,2001-03-01,569,664,5438
"Arts, entertainment, and recreation",2001-03-01,109,112,5438
Construction,2001-03-01,195,548,5438
Durable goods,2001-03-01,250,530,5438
Educational services,2001-03-01,46,128,5438
Finance and insurance,2001-03-01,253,158,5438
Government,2001-03-01,476,383,5438
Health care and social assistance,2001-03-01,740,358,5438
Information,2001-03-01,187,143,5438
Mining,2001-03-01,17,15,5438
Nondurable goods,2001-03-01,152,338,5438
"Other services, except government",2001-03-01,158,189,5438
Professional and business services,2001-03-01,1040,635,5438
Real estate and rental and leasing,2001-03-01,77,57,5438
Retail trade,2001-03-01,430,806,5438
Transportation and warehousing,2001-03-01,129,176,5438
Wholesale trade,2001-03-01,158,198,5438
Accommodation and food services,2001-02-01,569,647,5275
"Arts, entertainment, and recreation",2001-02-01,50,106,5275
Construction,2001-02-01,225,584,5275
Durable goods,2001-02-01,290,487,5275
Educational services,2001-02-01,58,69,5275
Finance and insurance,2001-02-01,260,151,5275
Government,2001-02-01,472,335,5275
Health care and social assistance,2001-02-01,750,348,5275
Information,2001-02-01,197,106,5275
Mining,2001-02-01,8,23,5275
Nondurable goods,2001-02-01,128,364,5275
"Other services, except government",2001-02-01,159,218,5275
Professional and business services,2001-02-01,793,681,5275
Real estate and rental and leasing,2001-02-01,27,74,5275
Retail trade,2001-02-01,519,750,5275
Transportation and warehousing,2001-02-01,146,169,5275
Wholesale trade,2001-02-01,207,163,5275
Accommodation and food services,2002-12-01,321,820,7694
"Arts, entertainment, and recreation",2002-12-01,62,190,7694
Construction,2002-12-01,84,862,7694
Durable goods,2002-12-01,134,817,7694
Educational services,2002-12-01,50,124,7694
