BEA_sector,date,v,u,U_monthly
Construction,2004-06-01,101,815,7115
Durable goods,2004-06-01,179,563,7115
Educational services,2004-06-01,34,129,7115
Finance and insurance,2004-06-01,170,193,7115
Government,2004-06-01,363,490,7115
Health care and social assistance,2004-06-01,495,565,7115
Information,2004-06-01,104,182,7115
Mining,2004-06-01,10,22,7115
Nondurable goods,2004-06-01,89,434,7115
"Other services, except government",2004-06-01,98,324,7115
Professional and business services,2004-06-01,729,818,7115
Real estate and rental and leasing,2004-06-01,38,112,7115
Retail trade,2004-06-01,401,959,7115
Transportation and warehousing,2004-06-01,88,223,7115
Wholesale trade,2004-06-01,147,170,7115
Accommodation and food services,2004-04-01,376,798,7108
"Arts, entertainment, and recreation",2004-04-01,39,160,7108
Construction,2004-04-01,138,814,7108
Durable goods,2004-04-01,173,600,7108
Educational services,2004-04-01,52,128,7108
Finance and insurance,2004-04-01,221,208,7108
Government,2004-04-01,372,525,7108
Health care and social assistance,2004-04-01,564,493,7108
Information,2004-04-01,93,170,7108
Mining,2004-04-01,9,35,7108
Nondurable goods,2004-04-01,92,385,7108
"Other services, except government",2004-04-01,139,353,7108
Professional and business services,2004-04-01,664,815,7108
Real estate and rental and leasing,2004-04-01,41,112,7108
Retail trade,2004-04-01,385,1056,7108
Transportation and warehousing,2004-04-01,92,235,7108
Wholesale trade,2004-04-01,130,221,7108
Accommodation and food services,2004-05-01,375,849,7071
"Arts, entertainment, and recreation",2004-05-01,64,143,7071
Construction,2004-05-01,136,779,7071
Durable goods,2004-05-01,179,594,7071
Educational services,2004-05-01,45,119,7071
Finance and insurance,2004-05-01,221,208,7071
Government,2004-05-01,394,536,7071
Health care and social assistance,2004-05-01,571,488,7071
Information,2004-05-01,114,193,7071
Mining,2004-05-01,10,24,7071
Nondurable goods,2004-05-01,110,409,7071
"Other services, except government",2004-05-01,168,327,7071
Professional and business services,2004-05-01,674,845,7071
Real estate and rental and leasing,2004-05-01,39,90,7071
Retail trade,2004-05-01,426,967,7071
Transportation and warehousing,2004-05-01,93,246,7071
Wholesale trade,2004-05-01,120,254,7071
Accommodation and food services,2004-11-01,369,794,6775
"Arts, entertainment, and recreation",2004-11-01,56,113,6775
Construction,2004-11-01,145,774,6775
Durable goods,2004-11-01,166,546,6775
Educational services,2004-11-01,53,114,6775
Finance and insurance,2004-11-01,207,204,6775
Government,2004-11-01,386,560,6775
Health care and social assistance,2004-11-01,575,474,6775
Information,2004-11-01,60,176,6775
Mining,2004-11-01,10,21,6775
Nondurable goods,2004-11-01,90,361,6775
"Other services, except government",2004-11-01,156,294,6775
Professional and business services,2004-11-01,594,908,6775
Real estate and rental and leasing,2004-11-01,46,98,6775
Retail trade,2004-11-01,323,916,6775
Transportation and warehousing,2004-11-01,94,237,6775
Wholesale trade,2004-11-01,138,185,6775
Accommodation and food services,2004-07-01,429,817,6880
"Arts, entertainment, and recreation",2004-07-01,45,134,6880
Construction,2004-07-01,116,765,6880
Durable goods,2004-07-01,171,611,6880
Educational services,2004-07-01,53,125,6880
Finance and insurance,2004-07-01,250,197,6880
Government,2004-07-01,382,559,6880
Health care and social assistance,2004-07-01,557,529,6880
Information,2004-07-01,103,186,6880
Mining,2004-07-01,10,23,6880
Nondurable goods,2004-07-01,106,378,6880
"Other services, except government",2004-07-01,195,319,6880
Professional and business services,2004-07-01,766,795,6880
Real estate and rental and leasing,2004-07-01,44,99,6880
Retail trade,2004-07-01,428,948,6880
Transportation and warehousing,2004-07-01,104,230,6880
Wholesale trade,2004-07-01,148,165,6880
Accommodation and food services,2004-12-01,396,799,6831
"Arts, entertainment, and recreation",2004-12-01,73,116,6831
Construction,2004-12-01,155,792,6831
Durable goods,2004-12-01,182,533,6831
Educational services,2004-12-01,62,136,6831
Finance and insurance,2004-12-01,251,236,6831
Government,2004-12-01,417,566,6831
Health care and social assistance,2004-12-01,579,479,6831
Information,2004-12-01,117,179,6831
Mining,2004-12-01,15,15,6831
Nondurable goods,2004-12-01,94,355,6831
"Other services, except government",2004-12-01,156,315,6831
Professional and business services,2004-12-01,704,850,6831
Real estate and rental and leasing,2004-12-01,50,86,6831
Retail trade,2004-12-01,414,955,6831
Transportation and warehousing,2004-12-01,91,224,6831
Wholesale trade,2004-12-01,164,195,6831
Accommodation and food services,2004-08-01,426,864,6829
"Arts, entertainment, and recreation",2004-08-01,77,173,6829
Construction,2004-08-01,129,685,6829
Durable goods,2004-08-01,170,561,6829
Educational services,2004-08-01,51,143,6829
Finance and insurance,2004-08-01,231,203,6829
Government,2004-08-01,361,536,6829
Health care and social assistance,2004-08-01,558,425,6829
Information,2004-08-01,92,188,6829
Mining,2004-08-01,9,14,6829
Nondurable goods,2004-08-01,113,318,6829
"Other services, except government",2004-08-01,141,318,6829
Professional and business services,2004-08-01,676,927,6829
Real estate and rental and leasing,2004-08-01,50,96,6829
Retail trade,2004-08-01,431,929,6829
Transportation and warehousing,2004-08-01,83,264,6829
Wholesale trade,2004-08-01,135,185,6829
Accommodation and food services,2004-09-01,397,785,6828
"Arts, entertainment, and recreation",2004-09-01,66,152,6828
Construction,2004-09-01,119,765,6828
Durable goods,2004-09-01,170,560,6828
Educational services,2004-09-01,51,109,6828
Finance and insurance,2004-09-01,273,249,6828
Government,2004-09-01,370,559,6828
Health care and social assistance,2004-09-01,559,478,6828
Information,2004-09-01,93,175,6828
Mining,2004-09-01,10,11,6828
Nondurable goods,2004-09-01,103,351,6828
"Other services, except government",2004-09-01,128,305,6828
Professional and business services,2004-09-01,704,787,6828
Real estate and rental and leasing,2004-09-01,60,134,6828
Retail trade,2004-09-01,479,936,6828
Transportation and warehousing,2004-09-01,75,231,6828
Wholesale trade,2004-09-01,145,241,6828
Accommodation and food services,2004-01-01,362,843,7310
"Arts, entertainment, and recreation",2004-01-01,65,176,7310
Construction,2004-01-01,151,715,7310
Durable goods,2004-01-01,141,634,7310
Educational services,2004-01-01,43,140,7310
Finance and insurance,2004-01-01,214,301,7310
Government,2004-01-01,422,516,7310
Health care and social assistance,2004-01-01,591,517,7310
Information,2004-01-01,75,231,7310
Mining,2004-01-01,8,24,7310
Nondurable goods,2004-01-01,94,396,7310
"Other services, except government",2004-01-01,162,325,7310
Professional and business services,2004-01-01,588,927,7310
Real estate and rental and leasing,2004-01-01,61,120,7310
Retail trade,2004-01-01,349,1061,7310
Transportation and warehousing,2004-01-01,89,202,7310
Wholesale trade,2004-01-01,116,182,7310
Accommodation and food services,2004-02-01,385,806,7187
"Arts, entertainment, and recreation",2004-02-01,60,106,7187
Construction,2004-02-01,114,751,7187
Durable goods,2004-02-01,134,657,7187
Educational services,2004-02-01,45,142,7187
Finance and insurance,2004-02-01,224,249,7187
Government,2004-02-01,360,559,7187
Health care and social assistance,2004-02-01,557,489,7187
Information,2004-02-01,82,186,7187
Mining,2004-02-01,5,21,7187
Nondurable goods,2004-02-01,90,363,7187
"Other services, except government",2004-02-01,168,343,7187
Professional and business services,2004-02-01,650,888,7187
Real estate and rental and leasing,2004-02-01,41,98,7187
Retail trade,2004-02-01,390,1031,7187
Transportation and warehousing,2004-02-01,85,263,7187
Wholesale trade,2004-02-01,87,235,7187
Accommodation and food services,2004-03-01,391,844,7512
"Arts, entertainment, and recreation",2004-03-01,44,159,7512
Construction,2004-03-01,128,798,7512
Durable goods,2004-03-01,162,645,7512
Educational services,2004-03-01,51,119,7512
Finance and insurance,2004-03-01,207,239,7512
Government,2004-03-01,364,585,7512
Health care and social assistance,2004-03-01,560,492,7512
Information,2004-03-01,84,212,7512
Mining,2004-03-01,10,23,7512
Nondurable goods,2004-03-01,89,364,7512
"Other services, except government",2004-03-01,176,350,7512
Professional and business services,2004-03-01,589,957,7512
Real estate and rental and leasing,2004-03-01,29,103,7512
Retail trade,2004-03-01,387,1085,7512
Transportation and warehousing,2004-03-01,135,255,7512
Wholesale trade,2004-03-01,103,282,7512
Accommodation and food services,2005-01-01,460,797,6667
"Arts, entertainment, and recreation",2005-01-01,63,117,6667
Construction,2005-01-01,167,792,6667
Durable goods,2005-01-01,200,512,6667
Educational services,2005-01-01,63,143,6667
Finance and insurance,2005-01-01,229,180,6667
Government,2005-01-01,384,561,6667
Health care and social assistance,2005-01-01,566,468,6667
Information,2005-01-01,101,162,6667
Mining,2005-01-01,12,22,6667
Nondurable goods,2005-01-01,93,327,6667
"Other services, except government",2005-01-01,166,291,6667
Professional and business services,2005-01-01,686,831,6667
Real estate and rental and leasing,2005-01-01,49,81,6667
Retail trade,2005-01-01,445,979,6667
Transportation and warehousing,2005-01-01,95,231,6667
Wholesale trade,2005-01-01,113,173,6667
Accommodation and food services,2005-12-01,494,824,6230
"Arts, entertainment, and recreation",2005-12-01,59,163,6230
Construction,2005-12-01,182,742,6230
Durable goods,2005-12-01,256,467,6230
Educational services,2005-12-01,69,94,6230
Finance and insurance,2005-12-01,321,148,6230
Government,2005-12-01,454,447,6230
Health care and social assistance,2005-12-01,608,478,6230
Information,2005-12-01,112,136,6230
Mining,2005-12-01,14,22,6230
Nondurable goods,2005-12-01,109,302,6230
"Other services, except government",2005-12-01,95,300,6230
Professional and business services,2005-12-01,862,761,6230
Real estate and rental and leasing,2005-12-01,84,76,6230
Retail trade,2005-12-01,468,881,6230
Transportation and warehousing,2005-12-01,129,224,6230
Wholesale trade,2005-12-01,137,165,6230
Accommodation and food services,2005-11-01,477,810,6450
"Arts, entertainment, and recreation",2005-11-01,68,145,6450
Construction,2005-11-01,201,629,6450
Durable goods,2005-11-01,255,484,6450
Educational services,2005-11-01,76,138,6450
Finance and insurance,2005-11-01,290,189,6450
Government,2005-11-01,403,539,6450
Health care and social assistance,2005-11-01,589,562,6450
Information,2005-11-01,121,162,6450
Mining,2005-11-01,15,19,6450
Nondurable goods,2005-11-01,141,334,6450
"Other services, except government",2005-11-01,116,293,6450
Professional and business services,2005-11-01,848,757,6450
Real estate and rental and leasing,2005-11-01,59,93,6450
Retail trade,2005-11-01,553,929,6450
Transportation and warehousing,2005-11-01,124,222,6450
Wholesale trade,2005-11-01,160,145,6450
Accommodation and food services,2005-09-01,451,773,6607
"Arts, entertainment, and recreation",2005-09-01,45,158,6607
Construction,2005-09-01,158,689,6607
Durable goods,2005-09-01,227,476,6607
Educational services,2005-09-01,84,130,6607
Finance and insurance,2005-09-01,244,194,6607
Government,2005-09-01,428,555,6607
Health care and social assistance,2005-09-01,610,509,6607
Information,2005-09-01,147,164,6607
Mining,2005-09-01,18,16,6607
Nondurable goods,2005-09-01,102,350,6607
"Other services, except government",2005-09-01,176,304,6607
Professional and business services,2005-09-01,817,906,6607
Real estate and rental and leasing,2005-09-01,89,72,6607
Retail trade,2005-09-01,397,922,6607
Transportation and warehousing,2005-09-01,133,234,6607
Wholesale trade,2005-09-01,145,155,6607
Accommodation and food services,2005-05-01,437,779,6527
"Arts, entertainment, and recreation",2005-05-01,59,178,6527
Construction,2005-05-01,135,651,6527
Durable goods,2005-05-01,196,451,6527
Educational services,2005-05-01,75,122,6527
Finance and insurance,2005-05-01,152,183,6527
Government,2005-05-01,379,519,6527
Health care and social assistance,2005-05-01,613,567,6527
Information,2005-05-01,100,145,6527
Mining,2005-05-01,14,17,6527
Nondurable goods,2005-05-01,84,315,6527
"Other services, except government",2005-05-01,124,328,6527
Professional and business services,2005-05-01,788,754,6527
Real estate and rental and leasing,2005-05-01,64,103,6527
Retail trade,2005-05-01,407,999,6527
Transportation and warehousing,2005-05-01,133,235,6527
Wholesale trade,2005-05-01,150,181,6527
Accommodation and food services,2005-06-01,445,756,6425
"Arts, entertainment, and recreation",2005-06-01,80,126,6425
Construction,2005-06-01,139,676,6425
Durable goods,2005-06-01,184,477,6425
Educational services,2005-06-01,76,129,6425
Finance and insurance,2005-06-01,247,203,6425
Government,2005-06-01,388,575,6425
Health care and social assistance,2005-06-01,579,470,6425
Information,2005-06-01,109,168,6425
Mining,2005-06-01,12,20,6425
Nondurable goods,2005-06-01,108,306,6425
"Other services, except government",2005-06-01,144,293,6425
Professional and business services,2005-06-01,887,747,6425
Real estate and rental and leasing,2005-06-01,65,84,6425
Retail trade,2005-06-01,414,956,6425
Transportation and warehousing,2005-06-01,134,242,6425
Wholesale trade,2005-06-01,141,197,6425
Accommodation and food services,2005-04-01,523,765,6544
"Arts, entertainment, and recreation",2005-04-01,76,153,6544
Construction,2005-04-01,138,666,6544
Durable goods,2005-04-01,210,451,6544
Educational services,2005-04-01,64,121,6544
Finance and insurance,2005-04-01,241,164,6544
Government,2005-04-01,392,586,6544
Health care and social assistance,2005-04-01,585,494,6544
Information,2005-04-01,118,181,6544
Mining,2005-04-01,11,20,6544
Nondurable goods,2005-04-01,84,323,6544
"Other services, except government",2005-04-01,153,317,6544
Professional and business services,2005-04-01,792,786,6544
Real estate and rental and leasing,2005-04-01,77,98,6544
Retail trade,2005-04-01,470,974,6544
Transportation and warehousing,2005-04-01,116,250,6544
Wholesale trade,2005-04-01,146,195,6544
Accommodation and food services,2005-10-01,431,732,6392
"Arts, entertainment, and recreation",2005-10-01,67,121,6392
Construction,2005-10-01,186,628,6392
Durable goods,2005-10-01,202,505,6392
Educational services,2005-10-01,76,143,6392
Finance and insurance,2005-10-01,302,160,6392
Government,2005-10-01,396,531,6392
Health care and social assistance,2005-10-01,588,511,6392
Information,2005-10-01,100,165,6392
Mining,2005-10-01,17,3,6392
Nondurable goods,2005-10-01,83,331,6392
"Other services, except government",2005-10-01,228,333,6392
Professional and business services,2005-10-01,823,767,6392
Real estate and rental and leasing,2005-10-01,49,97,6392
Retail trade,2005-10-01,454,918,6392
Transportation and warehousing,2005-10-01,124,268,6392
Wholesale trade,2005-10-01,182,179,6392
Accommodation and food services,2005-02-01,442,794,6881
"Arts, entertainment, and recreation",2005-02-01,62,139,6881
Construction,2005-02-01,144,845,6881
Durable goods,2005-02-01,189,491,6881
Educational services,2005-02-01,38,170,6881
Finance and insurance,2005-02-01,218,204,6881
Government,2005-02-01,375,540,6881
Health care and social assistance,2005-02-01,576,491,6881
Information,2005-02-01,94,196,6881
Mining,2005-02-01,11,22,6881
Nondurable goods,2005-02-01,96,333,6881
"Other services, except government",2005-02-01,128,309,6881
Professional and business services,2005-02-01,685,836,6881
Real estate and rental and leasing,2005-02-01,61,82,6881
Retail trade,2005-02-01,443,988,6881
Transportation and warehousing,2005-02-01,111,220,6881
Wholesale trade,2005-02-01,159,221,6881
Accommodation and food services,2005-08-01,415,713,6353
"Arts, entertainment, and recreation",2005-08-01,63,150,6353
Construction,2005-08-01,156,686,6353
Durable goods,2005-08-01,208,473,6353
Educational services,2005-08-01,67,112,6353
Finance and insurance,2005-08-01,267,190,6353
Government,2005-08-01,398,523,6353
Health care and social assistance,2005-08-01,601,467,6353
Information,2005-08-01,112,152,6353
Mining,2005-08-01,13,15,6353
Nondurable goods,2005-08-01,92,332,6353
"Other services, except government",2005-08-01,149,284,6353
Professional and business services,2005-08-01,827,791,6353
Real estate and rental and leasing,2005-08-01,53,100,6353
Retail trade,2005-08-01,423,976,6353
Transportation and warehousing,2005-08-01,116,206,6353
Wholesale trade,2005-08-01,140,183,6353
Accommodation and food services,2005-03-01,433,794,6629
"Arts, entertainment, and recreation",2005-03-01,60,152,6629
Construction,2005-03-01,151,752,6629
Durable goods,2005-03-01,179,488,6629
Educational services,2005-03-01,67,149,6629
Finance and insurance,2005-03-01,215,168,6629
Government,2005-03-01,372,519,6629
Health care and social assistance,2005-03-01,605,499,6629
Information,2005-03-01,96,177,6629
Mining,2005-03-01,16,33,6629
Nondurable goods,2005-03-01,105,339,6629
"Other services, except government",2005-03-01,170,299,6629
Professional and business services,2005-03-01,736,765,6629
Real estate and rental and leasing,2005-03-01,24,89,6629
Retail trade,2005-03-01,461,971,6629
Transportation and warehousing,2005-03-01,106,239,6629
Wholesale trade,2005-03-01,134,196,6629
Accommodation and food services,2005-07-01,420,768,6375
"Arts, entertainment, and recreation",2005-07-01,104,148,6375
Construction,2005-07-01,160,628,6375
Durable goods,2005-07-01,213,539,6375
Educational services,2005-07-01,63,114,6375
Finance and insurance,2005-07-01,264,212,6375
Government,2005-07-01,414,512,6375
Health care and social assistance,2005-07-01,636,456,6375
Information,2005-07-01,108,154,6375
Mining,2005-07-01,12,18,6375
Nondurable goods,2005-07-01,107,318,6375
"Other services, except government",2005-07-01,158,256,6375
Professional and business services,2005-07-01,813,809,6375
Real estate and rental and leasing,2005-07-01,57,90,6375
Retail trade,2005-07-01,419,940,6375
Transportation and warehousing,2005-07-01,119,217,6375
Wholesale trade,2005-07-01,148,196,6375
Accommodation and food services,2006-03-01,499,744,6060
"Arts, entertainment, and recreation",2006-03-01,68,163,6060
Construction,2006-03-01,191,641,6060
Durable goods,2006-03-01,264,394,6060
Educational services,2006-03-01,87,109,6060
Finance and insurance,2006-03-01,297,206,6060
Government,2006-03-01,440,514,6060
Health care and social assistance,2006-03-01,660,478,6060
Information,2006-03-01,133,118,6060
Mining,2006-03-01,20,14,6060
Nondurable goods,2006-03-01,124,270,6060
"Other services, except government",2006-03-01,207,293,6060
Professional and business services,2006-03-01,801,775,6060
Real estate and rental and leasing,2006-03-01,65,82,6060
Retail trade,2006-03-01,431,885,6060
Transportation and warehousing,2006-03-01,125,236,6060
Wholesale trade,2006-03-01,189,138,6060
Accommodation and food services,2006-12-01,553,590,5795
"Arts, entertainment, and recreation",2006-12-01,67,144,5795
Construction,2006-12-01,122,663,5795
Durable goods,2006-12-01,245,403,5795
Educational services,2006-12-01,72,99,5795
Finance and insurance,2006-12-01,209,138,5795
Government,2006-12-01,461,450,5795
Health care and social assistance,2006-12-01,690,443,5795
Information,2006-12-01,196,118,5795
Mining,2006-12-01,13,24,5795
Nondurable goods,2006-12-01,126,269,5795
"Other services, except government",2006-12-01,227,335,5795
Professional and business services,2006-12-01,703,770,5795
Real estate and rental and leasing,2006-12-01,74,107,5795
Retail trade,2006-12-01,547,870,5795
Transportation and warehousing,2006-12-01,169,210,5795
Wholesale trade,2006-12-01,197,162,5795
Accommodation and food services,2006-08-01,522,731,6053
"Arts, entertainment, and recreation",2006-08-01,49,142,6053
Construction,2006-08-01,207,761,6053
Durable goods,2006-08-01,214,439,6053
Educational services,2006-08-01,68,124,6053
Finance and insurance,2006-08-01,227,174,6053
Government,2006-08-01,467,465,6053
Health care and social assistance,2006-08-01,707,424,6053
Information,2006-08-01,178,127,6053
Mining,2006-08-01,23,38,6053
Nondurable goods,2006-08-01,124,276,6053
"Other services, except government",2006-08-01,190,317,6053
Professional and business services,2006-08-01,736,727,6053
Real estate and rental and leasing,2006-08-01,66,80,6053
Retail trade,2006-08-01,433,855,6053
Transportation and warehousing,2006-08-01,150,236,6053
Wholesale trade,2006-08-01,167,137,6053
Accommodation and food services,2006-06-01,457,734,6012
"Arts, entertainment, and recreation",2006-06-01,58,149,6012
Construction,2006-06-01,189,685,6012
Durable goods,2006-06-01,233,398,6012
Educational services,2006-06-01,43,109,6012
Finance and insurance,2006-06-01,278,201,6012
Government,2006-06-01,466,486,6012
Health care and social assistance,2006-06-01,677,455,6012
Information,2006-06-01,145,117,6012
Mining,2006-06-01,20,24,6012
Nondurable goods,2006-06-01,124,272,6012
"Other services, except government",2006-06-01,186,266,6012
Professional and business services,2006-06-01,701,759,6012
Real estate and rental and leasing,2006-06-01,92,84,6012
Retail trade,2006-06-01,420,906,6012
Transportation and warehousing,2006-06-01,146,220,6012
Wholesale trade,2006-06-01,152,147,6012
Accommodation and food services,2006-05-01,503,690,6069
"Arts, entertainment, and recreation",2006-05-01,55,144,6069
Construction,2006-05-01,168,726,6069
Durable goods,2006-05-01,205,389,6069
Educational services,2006-05-01,68,103,6069
Finance and insurance,2006-05-01,290,197,6069
Government,2006-05-01,448,495,6069
Health care and social assistance,2006-05-01,624,473,6069
Information,2006-05-01,139,158,6069
Mining,2006-05-01,17,21,6069
Nondurable goods,2006-05-01,111,301,6069
"Other services, except government",2006-05-01,183,275,6069
Professional and business services,2006-05-01,928,717,6069
Real estate and rental and leasing,2006-05-01,59,89,6069
Retail trade,2006-05-01,471,905,6069
Transportation and warehousing,2006-05-01,171,237,6069
Wholesale trade,2006-05-01,159,149,6069
Accommodation and food services,2006-02-01,517,797,6159
"Arts, entertainment, and recreation",2006-02-01,45,168,6159
Construction,2006-02-01,144,621,6159
Durable goods,2006-02-01,267,439,6159
Educational services,2006-02-01,81,106,6159
Finance and insurance,2006-02-01,328,166,6159
Government,2006-02-01,427,541,6159
Health care and social assistance,2006-02-01,653,459,6159
Information,2006-02-01,116,113,6159
Mining,2006-02-01,16,22,6159
Nondurable goods,2006-02-01,110,319,6159
"Other services, except government",2006-02-01,79,268,6159
Professional and business services,2006-02-01,832,760,6159
Real estate and rental and leasing,2006-02-01,49,85,6159
Retail trade,2006-02-01,422,913,6159
Transportation and warehousing,2006-02-01,113,232,6159
Wholesale trade,2006-02-01,156,150,6159
Accommodation and food services,2006-11-01,644,686,5900
"Arts, entertainment, and recreation",2006-11-01,83,141,5900
Construction,2006-11-01,134,685,5900
Durable goods,2006-11-01,218,425,5900
Educational services,2006-11-01,70,122,5900
Finance and insurance,2006-11-01,245,150,5900
Government,2006-11-01,464,437,5900
Health care and social assistance,2006-11-01,708,436,5900
Information,2006-11-01,189,132,5900
Mining,2006-11-01,17,24,5900
Nondurable goods,2006-11-01,121,275,5900
"Other services, except government",2006-11-01,166,295,5900
Professional and business services,2006-11-01,785,713,5900
Real estate and rental and leasing,2006-11-01,64,92,5900
Retail trade,2006-11-01,424,943,5900
Transportation and warehousing,2006-11-01,161,208,5900
Wholesale trade,2006-11-01,182,136,5900
Accommodation and food services,2006-07-01,491,704,6182
"Arts, entertainment, and recreation",2006-07-01,72,154,6182
Construction,2006-07-01,204,769,6182
Durable goods,2006-07-01,213,416,6182
Educational services,2006-07-01,67,125,6182
Finance and insurance,2006-07-01,200,231,6182
Government,2006-07-01,494,492,6182
Health care and social assistance,2006-07-01,585,467,6182
Information,2006-07-01,167,110,6182
Mining,2006-07-01,13,22,6182
Nondurable goods,2006-07-01,108,309,6182
"Other services, except government",2006-07-01,193,291,6182
Professional and business services,2006-07-01,624,742,6182
Real estate and rental and leasing,2006-07-01,67,95,6182
Retail trade,2006-07-01,388,877,6182
Transportation and warehousing,2006-07-01,137,230,6182
Wholesale trade,2006-07-01,173,148,6182
Accommodation and food services,2006-01-01,498,677,5959
"Arts, entertainment, and recreation",2006-01-01,67,148,5959
Construction,2006-01-01,157,650,5959
Durable goods,2006-01-01,245,428,5959
Educational services,2006-01-01,68,113,5959
Finance and insurance,2006-01-01,289,142,5959
Government,2006-01-01,364,461,5959
Health care and social assistance,2006-01-01,626,482,5959
Information,2006-01-01,139,100,5959
Mining,2006-01-01,13,20,5959
Nondurable goods,2006-01-01,85,316,5959
"Other services, except government",2006-01-01,92,306,5959
Professional and business services,2006-01-01,833,717,5959
Real estate and rental and leasing,2006-01-01,145,97,5959
Retail trade,2006-01-01,451,900,5959
Transportation and warehousing,2006-01-01,96,243,5959
Wholesale trade,2006-01-01,166,159,5959
Accommodation and food services,2006-09-01,435,773,5945
"Arts, entertainment, and recreation",2006-09-01,119,124,5945
Construction,2006-09-01,174,703,5945
Durable goods,2006-09-01,226,389,5945
Educational services,2006-09-01,86,127,5945
Finance and insurance,2006-09-01,207,135,5945
Government,2006-09-01,483,385,5945
Health care and social assistance,2006-09-01,701,424,5945
Information,2006-09-01,173,163,5945
Mining,2006-09-01,18,19,5945
Nondurable goods,2006-09-01,122,281,5945
"Other services, except government",2006-09-01,236,302,5945
Professional and business services,2006-09-01,720,773,5945
Real estate and rental and leasing,2006-09-01,49,107,5945
Retail trade,2006-09-01,458,898,5945
Transportation and warehousing,2006-09-01,170,201,5945
Wholesale trade,2006-09-01,245,141,5945
Accommodation and food services,2006-10-01,517,696,5703
"Arts, entertainment, and recreation",2006-10-01,84,152,5703
Construction,2006-10-01,180,545,5703
Durable goods,2006-10-01,237,380,5703
Educational services,2006-10-01,69,118,5703
Finance and insurance,2006-10-01,243,166,5703
Government,2006-10-01,456,451,5703
Health care and social assistance,2006-10-01,766,426,5703
Information,2006-10-01,167,119,5703
Mining,2006-10-01,18,21,5703
Nondurable goods,2006-10-01,133,262,5703
"Other services, except government",2006-10-01,164,281,5703
Professional and business services,2006-10-01,779,791,5703
Real estate and rental and leasing,2006-10-01,62,48,5703
Retail trade,2006-10-01,429,903,5703
Transportation and warehousing,2006-10-01,170,225,5703
Wholesale trade,2006-10-01,198,119,5703
Accommodation and food services,2006-04-01,515,778,6108
"Arts, entertainment, and recreation",2006-04-01,70,142,6108
Construction,2006-04-01,188,650,6108
Durable goods,2006-04-01,248,414,6108
Educational services,2006-04-01,67,118,6108
Finance and insurance,2006-04-01,360,219,6108
Government,2006-04-01,440,513,6108
Health care and social assistance,2006-04-01,671,461,6108
Information,2006-04-01,183,134,6108
Mining,2006-04-01,19,18,6108
Nondurable goods,2006-04-01,131,309,6108
"Other services, except government",2006-04-01,150,281,6108
Professional and business services,2006-04-01,732,711,6108
Real estate and rental and leasing,2006-04-01,56,81,6108
Retail trade,2006-04-01,466,869,6108
Transportation and warehousing,2006-04-01,175,263,6108
Wholesale trade,2006-04-01,182,147,6108
Accommodation and food services,2007-02-01,470,645,5972
"Arts, entertainment, and recreation",2007-02-01,76,173,5972
Construction,2007-02-01,285,818,5972
Durable goods,2007-02-01,247,451,5972
Educational services,2007-02-01,64,124,5972
Finance and insurance,2007-02-01,210,158,5972
Government,2007-02-01,458,464,5972
Health care and social assistance,2007-02-01,618,406,5972
Information,2007-02-01,200,134,5972
Mining,2007-02-01,16,30,5972
Nondurable goods,2007-02-01,125,263,5972
"Other services, except government",2007-02-01,242,244,5972
Professional and business services,2007-02-01,655,744,5972
Real estate and rental and leasing,2007-02-01,53,115,5972
Retail trade,2007-02-01,431,849,5972
Transportation and warehousing,2007-02-01,172,222,5972
Wholesale trade,2007-02-01,144,132,5972
Accommodation and food services,2007-12-01,567,825,6601
"Arts, entertainment, and recreation",2007-12-01,47,172,6601
Construction,2007-12-01,136,889,6601
Durable goods,2007-12-01,162,470,6601
Educational services,2007-12-01,69,141,6601
Finance and insurance,2007-12-01,207,240,6601
Government,2007-12-01,460,514,6601
Health care and social assistance,2007-12-01,700,427,6601
Information,2007-12-01,98,138,6601
Mining,2007-12-01,19,23,6601
Nondurable goods,2007-12-01,138,314,6601
"Other services, except government",2007-12-01,141,254,6601
Professional and business services,2007-12-01,746,793,6601
Real estate and rental and leasing,2007-12-01,84,94,6601
Retail trade,2007-12-01,420,955,6601
Transportation and warehousing,2007-12-01,141,229,6601
Wholesale trade,2007-12-01,248,123,6601
Accommodation and food services,2007-04-01,491,695,5922
"Arts, entertainment, and recreation",2007-04-01,88,164,5922
Construction,2007-04-01,188,822,5922
Durable goods,2007-04-01,230,464,5922
Educational services,2007-04-01,67,152,5922
Finance and insurance,2007-04-01,162,169,5922
Government,2007-04-01,439,509,5922
Health care and social assistance,2007-04-01,695,437,5922
Information,2007-04-01,175,78,5922
Mining,2007-04-01,18,17,5922
Nondurable goods,2007-04-01,142,261,5922
"Other services, except government",2007-04-01,208,242,5922
Professional and business services,2007-04-01,809,755,5922
Real estate and rental and leasing,2007-04-01,74,66,5922
Retail trade,2007-04-01,409,785,5922
Transportation and warehousing,2007-04-01,175,181,5922
Wholesale trade,2007-04-01,288,125,5922
Accommodation and food services,2007-11-01,606,823,6166
"Arts, entertainment, and recreation",2007-11-01,104,162,6166
Construction,2007-11-01,125,704,6166
Durable goods,2007-11-01,193,446,6166
Educational services,2007-11-01,65,133,6166
Finance and insurance,2007-11-01,198,192,6166
Government,2007-11-01,484,526,6166
Health care and social assistance,2007-11-01,659,421,6166
Information,2007-11-01,105,132,6166
Mining,2007-11-01,20,18,6166
Nondurable goods,2007-11-01,137,320,6166
