OCC_TITLE,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade
Eng,0.00030743536586885805,0.00041129866514887765,0.038903037378324144,0.2663138084179127,0.007577866315470231,0.0015953402769411011,0.0018404576632419475,0.016078038728547035,0.009862858899630662,0.043344232055537786,0.005051910876980154,0.3787022073028363,0.002102193177427597,0.0018612303230979513,0.0,0.024698692568788663
Arts,0.0056627145637940185,0.07930565386657229,0.005867324367368607,0.02168863917890639,0.13231065298177314,0.011148469297469474,0.01984715094673509,0.22888648026897895,0.00017142983542735798,0.024237966731551937,0.04372013802866749,0.188605998938241,0.009284861086533357,0.08254070076092727,0.0,0.05005751194478853
Clean,0.10812889408099688,0.03768496884735203,0.009472352024922118,0.006303543613707165,0.10770541277258568,0.0017109618380062306,0.09911896417445483,0.0010562694704049844,0.00024338006230529595,0.010883956386292835,0.020112928348909657,0.008019373052959501,0.029689933800623052,0.027497079439252337,0.009138921339563863,0.0065785630841121495
Bus Ops,0.008813301419621547,0.008803202143739627,0.04474428072396098,0.044314500428097085,0.04144742821939667,0.19083255063945248,0.04683819725681224,0.03380003209325447,0.0024821775834228243,0.017631091406301723,0.03156809212335031,0.1948296196051632,0.016150986418718222,0.02295116551254386,0.0,0.038244835623063606
Soc S,0.000180685611553038,0.0004607483094602469,9.485994606534496e-05,1.80685611553038e-05,0.1718771879898274,0.008008889732088409,0.5161103808400977,0.00035685408281725006,0.0,6.775710433238925e-05,0.048012684129931024,0.006066519407893251,0.001188007895961225,0.000551091115236766,0.0,0.0005194711332149843
Math,0.0011542217881559088,0.0020594088565408426,0.004136141867500536,0.05310069881307887,0.04760461082369858,0.09997986067048809,0.0286433238122668,0.14219232843131946,0.0012213528865289542,0.008408711451049518,0.008856973946637273,0.36569990666611807,0.0034366791328394506,0.012486384297386435,0.0,0.0350012884839849
Cons,0.000745431666484298,0.0009215313491629281,0.7518088685851844,0.02940864700733122,0.006616560892876682,0.00012138910165225955,0.0030449857752489332,0.001008726337673706,0.032865671845935,0.003790417441733231,0.002403846153846154,0.015065926250136776,0.005183827552248605,0.0065327853156800526,0.006883274975380238,0.005011147280884123
Educ,0.00015749511948263462,0.005364601201602299,2.68596327799842e-05,3.906855677088611e-05,0.894224324327624,7.813711354177222e-05,0.06118624347280401,0.0020242395976915366,0.0,1.0988031591811719e-05,0.006528111657935251,0.0012428684622738143,5.127748076178802e-05,0.0008570664641613141,0.0,0.00015993690428081503
Agg,0.0037587256130302486,0.004855020583497405,0.0023492035081439057,0.01662341149096116,0.007025237157687489,0.0012305351709325219,0.007606944693037408,0.0,0.0002908537676749597,0.054926615357078934,0.005347234651870414,0.011365670306067657,0.0,0.06038571684267049,0.0,0.0924914981206372
Food S,0.8197354741208374,0.022536861774152636,7.14548566079665e-05,5.627069957877362e-05,0.031170394823810187,6.788211377756818e-05,0.04506568487693687,0.0012442076906862168,8.038671368396232e-06,0.008921138847504617,0.005593128900988578,0.00042247683969460196,0.001582725073866458,0.0490600113613222,0.0,0.0007681397085356399
Health P,0.0005713518275291423,0.0006908576878689032,1.4795963661113248e-05,0.0007147588599368554,0.030607158059589037,0.006914267633943307,0.7853617840745353,0.000523549483393238,0.0,0.0004552604203419461,0.0015854444138408274,0.027143764411837683,0.00033575456000218526,0.06218515896555727,0.0,0.003414453152564596
Health S,0.0008120240153072587,0.0005120599201004728,0.0,0.0001711916300927616,0.007094605342693829,0.00047873057618860775,0.9154237598832867,5.756886675685789e-05,0.0,7.574850889060249e-05,0.008377785083300636,0.01570569583337752,0.0,0.005906868723289182,0.0,0.00018331139151525803
Repair,0.02294225597953513,0.014195173318168853,0.11779679716132412,0.061604504855204925,0.03052150623471817,0.002283641556177044,0.028020802126854226,0.03893133468354612,0.008104864533234788,0.04839956731002094,0.11706129595312884,0.015310982468162664,0.07638269742377247,0.12794312602364727,0.06022678551887816,0.07111399730555411
Legal,0.0,0.0006799772207631044,0.0017934399197626879,0.0038758701583496953,0.004504849087555567,0.055953625553543954,0.005805305522265004,0.0108201375253929,0.0010709641227018894,0.0013259555804880536,0.007751740316699391,0.6286644397412686,0.006255790431020561,0.0022014262522205507,0.0,0.0035188821174490653
Science,0.0,0.0020275300565490806,0.013883828863791164,0.024924363624843578,0.1335239422787537,0.002510652452836166,0.09175365509812929,0.002779933788471591,0.00902092474378673,0.0848157006858754,0.011452376803788947,0.2809317134212986,0.0007603237712059052,0.00102960510684133,0.0,0.015586637309721057
Manag,0.04683655969975039,0.013811571821071345,0.06007461346454289,0.054892748756442254,0.08087839172517823,0.0711386858692334,0.09259679099251172,0.03485328712266777,0.0043479627202039975,0.027666915078923267,0.033788182161007055,0.12558586384614004,0.03855029001382729,0.059760356995349005,0.024014805969077162,0.0560162156338104
Admin,0.0206662174723475,0.010658255475717002,0.03722957491025677,0.032807032787360045,0.058893637670681544,0.11439208762240136,0.14770514710021024,0.019558532697466532,0.0021410502950091888,0.020518671893058966,0.02965939376253796,0.07981177555803651,0.021502855553424342,0.0742383779166892,0.07630292309651175,0.05000811500686087
Care,0.04105793549040773,0.21321990701951968,0.0001948459353189433,1.948459353189433e-05,0.07228784200332797,0.00017536134178704898,0.21346151597931515,0.013514514073721909,1.5587674825515466e-05,0.00032734117133582474,0.29607619255454715,0.015459076508204963,0.00763016682708982,0.03321733505317345,0.0035072268357409795,0.00044035181382081186
