year,BEA_sector,v,u,U_yearly
2009,Transportation and warehousing,673,6327,149863.0
2009,Wholesale trade,819,3370,149863.0
2010,Accommodation and food services,2892,15629,153280.0
2010,"Arts, entertainment, and recreation",406,3475,153280.0
2010,Construction,871,21561,153280.0
2010,Durable goods,1431,12855,153280.0
2010,Educational services,660,3337,153280.0
2010,Finance and insurance,1982,5296,153280.0
2010,Government,4572,11720,153280.0
2010,Health care and social assistance,5510,11569,153280.0
2010,Information,935,3630,153280.0
2010,Mining,182,875,153280.0
2010,Nondurable goods,721,6568,153280.0
2010,"Other services, except government",1725,6401,153280.0
2010,Professional and business services,6241,18745,153280.0
2010,Real estate and rental and leasing,373,2207,153280.0
2010,Retail trade,3077,20090,153280.0
2010,Transportation and warehousing,880,5871,153280.0
2010,Wholesale trade,958,3451,153280.0
2011,Accommodation and food services,3727,14948,140023.0
2011,"Arts, entertainment, and recreation",570,3371,140023.0
2011,Construction,914,16521,140023.0
2011,Durable goods,1926,10629,140023.0
2011,Educational services,726,3416,140023.0
2011,Finance and insurance,1854,4722,140023.0
2011,Government,4096,12182,140023.0
2011,Health care and social assistance,6293,11204,140023.0
2011,Information,1181,2669,140023.0
2011,Mining,332,626,140023.0
2011,Nondurable goods,842,5824,140023.0
2011,"Other services, except government",1439,6626,140023.0
2011,Professional and business services,7106,17197,140023.0
2011,Real estate and rental and leasing,493,2248,140023.0
2011,Retail trade,3596,18802,140023.0
2011,Transportation and warehousing,1317,5824,140023.0
2011,Wholesale trade,1284,3214,140023.0
