short_names,accom,const,dur,edhealth,fin,gov,info,mining,nondur,other,profserv,trade,trans
accom,0.03451088747293847,0.0022863545357764224,0.020832804299994526,0.003938460930683086,0.11832727502497202,0.0082000487594965,0.04378027560743563,0.009405793013174424,0.12312971618429713,0.016354515689551093,0.17134105124163304,0.00012914235178683667,0.03641242574229344
const,0.0007747640679631017,0.00016341100191405038,0.333134052783125,2.9711100906785274e-06,0.039224066736000866,0.0010291558578263578,0.01907303292855565,0.026419620646091747,0.10467923112388826,0.006829777314477619,0.08572973135595316,6.774128806618816e-05,0.005205255267846143
dur,0.00156682021747266,0.000844968162788853,0.4856412708003461,0.0,0.019904126820039905,0.0015358804418741053,0.015011070330887576,0.015887249065842293,0.06906135573355915,0.00324832869057722,0.06748187016685132,0.005273248643834128,0.014530794428707914
edhealth,0.021562943863753813,0.00048766449275804114,0.033058837236073176,0.01650916557026538,0.11458545821882252,0.0062262911301449,0.03128188933900539,0.00446506272798021,0.061951155565232466,0.010426316939160787,0.11214473469346276,0.00020983310216560785,0.013491771948087029
fin,0.021435477653723584,0.043917689862234516,0.012407459191727581,1.597345531179815e-05,0.3661871017101534,0.009778105072371911,0.038390094474723205,0.0012089685298680626,0.015951518856183403,0.009323332295155834,0.15585649577442648,0.0027049964941122566,0.04160304490803355
gov,0.006670321187140071,0.027215722282767238,0.05570830661291612,0.012408697181349997,0.06404696710528285,0.005233422874040257,0.03760070597034053,0.015092072236125556,0.09486382029087365,0.013532491730036466,0.08393031748208428,1.0705719117327963e-05,0.020131277438000198
info,0.025118123100337498,0.001880322042773549,0.061469630236954384,0.00016776367447218744,0.0718539234872129,0.004630381870669661,0.18959228196046252,0.00271183285391625,0.022289623585597947,0.0080952618344468,0.24261734654028316,0.0020878011319798075,0.019730896436593925
mining,0.0014528903148029039,0.008855305327826858,0.16889066678452153,0.0,0.10128732123003896,0.003396062143069952,0.02887099950959111,0.21637992940902617,0.0943364067360559,0.002060621742774743,0.15218850257794336,0.0005336169774184912,0.03755951562598741
nondur,0.0017126348712089923,0.0041769279422888385,0.05719201627105052,2.4119852843189225e-05,0.025717814595268666,0.002616676034228302,0.010912716267183454,0.15981842990949308,0.48728482759201147,0.004267182551719456,0.05119893754700799,0.004741122577727301,0.027308813754233784
other,0.015080842458928993,0.005742645690281157,0.07683927299967212,0.011102348160779202,0.1310998649479558,0.006187817127952492,0.03870739028190364,0.004020835279012185,0.03673369782023103,0.014628229410706831,0.10028637844915919,9.184497037858179e-05,0.014366479650850209
profserv,0.023388831381953756,0.00047429632594901347,0.03373292331069861,0.0006117333454631119,0.08262443688223262,0.004844086570001497,0.0636176805145727,0.00273540324895764,0.030556203378023106,0.009926427732955377,0.2069052711916554,8.450507226893826e-05,0.019926061757333243
trade,0.0076078278251894135,0.0022586320861188234,0.03146853210573887,0.002664603854244044,0.13196645742488558,0.011405092920415385,0.048110445711831186,0.002744451992536523,0.03961135796403628,0.01959428236221173,0.20157423542136824,0.02651750643662782,0.08060669331625475
trans,0.018348281752490973,0.009560510768685207,0.027813160409428685,0.0002707457493361111,0.10376803889164354,0.019913644093782695,0.03218567941837122,0.0386947850864553,0.10357108155205216,0.013781796495290759,0.11991375861966504,0.001221794508960817,0.1667983438984099
