short_names,Capital share,Energy share
accom,0.2218406227304299,0.023294786371003195
const,0.097,0.024
dur,0.271,0.008
edhealth,0.12601478477432546,0.011190554639374139
fin,0.33082995643367963,0.03504775602860557
gov,0.0,0.0
info,0.377,0.004
mining,0.524,0.029
nondur,0.28006892373055325,0.02210103764308759
other,0.07,0.01
profserv,0.09925109041372056,0.007855184273374739
trade,0.21326505645418795,0.020027005005265754
trans,0.24471646749508758,0.1269125314809177
