BEA_sector,date,v,u,U_monthly
Real estate and rental and leasing,200108,75,84,6243
Retail trade,200108,404,802,6243
Transportation and warehousing,200108,118,261,6243
Wholesale trade,200108,105,165,6243
Accommodation and food services,200103,569,664,5438
"Arts, entertainment, and recreation",200103,109,112,5438
Construction,200103,195,548,5438
Durable goods,200103,250,530,5438
Educational services,200103,46,128,5438
Finance and insurance,200103,253,158,5438
Government,200103,476,383,5438
Health care and social assistance,200103,740,358,5438
Information,200103,187,143,5438
Mining,200103,17,15,5438
Nondurable goods,200103,152,338,5438
"Other services, except government",200103,158,189,5438
Professional and business services,200103,1040,635,5438
Real estate and rental and leasing,200103,77,57,5438
Retail trade,200103,430,806,5438
Transportation and warehousing,200103,129,176,5438
Wholesale trade,200103,158,198,5438
Accommodation and food services,200102,569,647,5275
"Arts, entertainment, and recreation",200102,50,106,5275
Construction,200102,225,584,5275
Durable goods,200102,290,487,5275
Educational services,200102,58,69,5275
Finance and insurance,200102,260,151,5275
Government,200102,472,335,5275
Health care and social assistance,200102,750,348,5275
Information,200102,197,106,5275
Mining,200102,8,23,5275
Nondurable goods,200102,128,364,5275
"Other services, except government",200102,159,218,5275
Professional and business services,200102,793,681,5275
Real estate and rental and leasing,200102,27,74,5275
Retail trade,200102,519,750,5275
Transportation and warehousing,200102,146,169,5275
Wholesale trade,200102,207,163,5275
Accommodation and food services,200212,321,820,7694
"Arts, entertainment, and recreation",200212,62,190,7694
Construction,200212,84,862,7694
Durable goods,200212,134,817,7694
Educational services,200212,50,124,7694
Finance and insurance,200212,176,248,7694
Government,200212,368,501,7694
Health care and social assistance,200212,609,496,7694
Information,200212,52,245,7694
Mining,200212,4,43,7694
Nondurable goods,200212,85,395,7694
"Other services, except government",200212,144,287,7694
Professional and business services,200212,554,1037,7694
Real estate and rental and leasing,200212,40,114,7694
Retail trade,200212,246,1054,7694
Transportation and warehousing,200212,97,253,7694
Wholesale trade,200212,91,208,7694
Accommodation and food services,200205,364,857,7563
"Arts, entertainment, and recreation",200205,65,200,7563
Construction,200205,112,750,7563
Durable goods,200205,160,782,7563
Educational services,200205,47,124,7563
Finance and insurance,200205,173,224,7563
Government,200205,458,554,7563
Health care and social assistance,200205,626,447,7563
Information,200205,99,263,7563
Mining,200205,5,26,7563
Nondurable goods,200205,90,462,7563
"Other services, except government",200205,159,289,7563
Professional and business services,200205,671,1009,7563
Real estate and rental and leasing,200205,50,118,7563
Retail trade,200205,340,976,7563
Transportation and warehousing,200205,112,283,7563
Wholesale trade,200205,102,199,7563
Accommodation and food services,200208,350,746,7375
"Arts, entertainment, and recreation",200208,53,161,7375
Construction,200208,111,798,7375
Durable goods,200208,159,756,7375
Educational services,200208,45,118,7375
Finance and insurance,200208,184,227,7375
Government,200208,457,481,7375
Health care and social assistance,200208,659,456,7375
Information,200208,80,269,7375
Mining,200208,8,46,7375
Nondurable goods,200208,90,401,7375
"Other services, except government",200208,141,327,7375
Professional and business services,200208,597,1016,7375
Real estate and rental and leasing,200208,36,104,7375
Retail trade,200208,322,996,7375
Transportation and warehousing,200208,105,254,7375
Wholesale trade,200208,108,219,7375
Accommodation and food services,200207,362,814,7397
"Arts, entertainment, and recreation",200207,40,173,7397
Construction,200207,101,768,7397
Durable goods,200207,167,753,7397
Educational services,200207,55,134,7397
Finance and insurance,200207,189,220,7397
Government,200207,407,495,7397
Health care and social assistance,200207,642,459,7397
Information,200207,97,270,7397
Mining,200207,6,17,7397
Nondurable goods,200207,93,403,7397
"Other services, except government",200207,135,322,7397
Professional and business services,200207,599,1091,7397
Real estate and rental and leasing,200207,44,106,7397
Retail trade,200207,345,884,7397
Transportation and warehousing,200207,75,273,7397
Wholesale trade,200207,95,215,7397
Accommodation and food services,200210,354,820,7394
"Arts, entertainment, and recreation",200210,54,182,7394
Construction,200210,134,832,7394
Durable goods,200210,145,707,7394
Educational services,200210,43,147,7394
Finance and insurance,200210,197,211,7394
Government,200210,409,526,7394
Health care and social assistance,200210,638,405,7394
Information,200210,76,219,7394
Mining,200210,8,37,7394
Nondurable goods,200210,85,407,7394
"Other services, except government",200210,171,282,7394
Professional and business services,200210,723,981,7394
Real estate and rental and leasing,200210,73,104,7394
Retail trade,200210,395,1050,7394
Transportation and warehousing,200210,91,267,7394
Wholesale trade,200210,107,217,7394
Accommodation and food services,200201,371,742,7303
"Arts, entertainment, and recreation",200201,60,152,7303
Construction,200201,113,846,7303
Durable goods,200201,154,809,7303
Educational services,200201,57,115,7303
Finance and insurance,200201,264,187,7303
Government,200201,400,489,7303
Health care and social assistance,200201,698,460,7303
Information,200201,99,258,7303
Mining,200201,14,28,7303
Nondurable goods,200201,106,434,7303
"Other services, except government",200201,175,309,7303
Professional and business services,200201,561,967,7303
Real estate and rental and leasing,200201,55,91,7303
Retail trade,200201,374,925,7303
Transportation and warehousing,200201,94,307,7303
Wholesale trade,200201,100,184,7303
Accommodation and food services,200209,346,806,7431
"Arts, entertainment, and recreation",200209,34,155,7431
Construction,200209,133,769,7431
Durable goods,200209,147,751,7431
Educational services,200209,49,148,7431
Finance and insurance,200209,130,216,7431
Government,200209,439,523,7431
Health care and social assistance,200209,672,427,7431
Information,200209,70,234,7431
Mining,200209,6,50,7431
Nondurable goods,200209,94,415,7431
"Other services, except government",200209,154,297,7431
Professional and business services,200209,587,1059,7431
Real estate and rental and leasing,200209,35,89,7431
Retail trade,200209,319,1023,7431
Transportation and warehousing,200209,75,261,7431
Wholesale trade,200209,104,208,7431
Accommodation and food services,200206,339,776,7444
"Arts, entertainment, and recreation",200206,50,194,7444
Construction,200206,132,738,7444
Durable goods,200206,158,804,7444
Educational services,200206,94,130,7444
Finance and insurance,200206,181,234,7444
Government,200206,417,475,7444
Health care and social assistance,200206,649,433,7444
Information,200206,72,271,7444
Mining,200206,8,32,7444
Nondurable goods,200206,99,409,7444
"Other services, except government",200206,121,321,7444
Professional and business services,200206,525,1078,7444
Real estate and rental and leasing,200206,59,104,7444
Retail trade,200206,339,988,7444
Transportation and warehousing,200206,85,267,7444
Wholesale trade,200206,120,190,7444
Accommodation and food services,200203,355,767,7399
"Arts, entertainment, and recreation",200203,74,160,7399
Construction,200203,125,805,7399
Durable goods,200203,139,819,7399
Educational services,200203,56,125,7399
Finance and insurance,200203,214,190,7399
Government,200203,440,518,7399
Health care and social assistance,200203,684,444,7399
Information,200203,96,256,7399
Mining,200203,4,30,7399
Nondurable goods,200203,102,430,7399
"Other services, except government",200203,165,297,7399
Professional and business services,200203,595,939,7399
Real estate and rental and leasing,200203,28,105,7399
Retail trade,200203,354,1036,7399
Transportation and warehousing,200203,92,285,7399
Wholesale trade,200203,171,193,7399
Accommodation and food services,200211,384,808,7438
"Arts, entertainment, and recreation",200211,45,167,7438
Construction,200211,120,828,7438
Durable goods,200211,143,754,7438
Educational services,200211,50,111,7438
Finance and insurance,200211,214,239,7438
Government,200211,461,508,7438
Health care and social assistance,200211,686,406,7438
Information,200211,71,215,7438
Mining,200211,6,34,7438
Nondurable goods,200211,94,393,7438
"Other services, except government",200211,152,293,7438
Professional and business services,200211,676,1037,7438
Real estate and rental and leasing,200211,37,105,7438
Retail trade,200211,299,1075,7438
Transportation and warehousing,200211,106,246,7438
Wholesale trade,200211,98,219,7438
Accommodation and food services,200204,353,801,7525
"Arts, entertainment, and recreation",200204,59,177,7525
Construction,200204,99,805,7525
Durable goods,200204,146,857,7525
Educational services,200204,52,106,7525
Finance and insurance,200204,184,188,7525
Government,200204,426,536,7525
Health care and social assistance,200204,657,423,7525
Information,200204,86,263,7525
Mining,200204,9,31,7525
Nondurable goods,200204,97,443,7525
"Other services, except government",200204,157,268,7525
Professional and business services,200204,534,1000,7525
Real estate and rental and leasing,200204,58,110,7525
Retail trade,200204,351,1016,7525
Transportation and warehousing,200204,108,284,7525
Wholesale trade,200204,107,217,7525
Accommodation and food services,200202,359,727,7302
"Arts, entertainment, and recreation",200202,65,160,7302
Construction,200202,107,751,7302
Durable goods,200202,146,835,7302
Educational services,200202,67,116,7302
Finance and insurance,200202,139,205,7302
Government,200202,451,574,7302
Health care and social assistance,200202,683,473,7302
Information,200202,98,269,7302
Mining,200202,16,31,7302
Nondurable goods,200202,114,387,7302
"Other services, except government",200202,147,305,7302
Professional and business services,200202,493,910,7302
Real estate and rental and leasing,200202,60,100,7302
Retail trade,200202,350,977,7302
Transportation and warehousing,200202,86,297,7302
Wholesale trade,200202,103,185,7302
Accommodation and food services,200312,405,817,7312
"Arts, entertainment, and recreation",200312,56,145,7312
Construction,200312,99,743,7312
Durable goods,200312,126,651,7312
Educational services,200312,41,159,7312
Finance and insurance,200312,168,213,7312
Government,200312,321,582,7312
Health care and social assistance,200312,484,527,7312
Information,200312,83,222,7312
Mining,200312,10,31,7312
Nondurable goods,200312,93,392,7312
"Other services, except government",200312,146,324,7312
Professional and business services,200312,616,933,7312
Real estate and rental and leasing,200312,35,105,7312
Retail trade,200312,346,978,7312
Transportation and warehousing,200312,91,286,7312
Wholesale trade,200312,169,204,7312
Accommodation and food services,200306,407,842,8109
"Arts, entertainment, and recreation",200306,72,126,8109
Construction,200306,114,875,8109
Durable goods,200306,109,826,8109
Educational services,200306,48,144,8109
Finance and insurance,200306,147,220,8109
Government,200306,429,596,8109
Health care and social assistance,200306,563,541,8109
Information,200306,68,253,8109
Mining,200306,6,31,8109
Nondurable goods,200306,85,444,8109
"Other services, except government",200306,139,350,8109
Professional and business services,200306,618,1092,8109
Real estate and rental and leasing,200306,45,104,8109
Retail trade,200306,334,1096,8109
Transportation and warehousing,200306,90,294,8109
Wholesale trade,200306,85,275,8109
Accommodation and food services,200302,287,871,7601
"Arts, entertainment, and recreation",200302,56,175,7601
Construction,200302,97,839,7601
Durable goods,200302,126,742,7601
Educational services,200302,39,133,7601
Finance and insurance,200302,145,223,7601
Government,200302,393,548,7601
Health care and social assistance,200302,571,455,7601
Information,200302,70,310,7601
Mining,200302,6,36,7601
Nondurable goods,200302,76,411,7601
"Other services, except government",200302,178,303,7601
Professional and business services,200302,770,1060,7601
Real estate and rental and leasing,200302,50,71,7601
Retail trade,200302,358,945,7601
Transportation and warehousing,200302,108,285,7601
Wholesale trade,200302,88,194,7601
Accommodation and food services,200304,352,849,7732
"Arts, entertainment, and recreation",200304,87,167,7732
Construction,200304,138,733,7732
Durable goods,200304,112,799,7732
