BEA_sector,date,v,u,U_monthly
Accommodation and food services,200402,385,806,7187
"Arts, entertainment, and recreation",200402,60,106,7187
Construction,200402,114,751,7187
Durable goods,200402,134,657,7187
Educational services,200402,45,142,7187
Finance and insurance,200402,224,249,7187
Government,200402,360,559,7187
Health care and social assistance,200402,557,489,7187
Information,200402,82,186,7187
Mining,200402,5,21,7187
Nondurable goods,200402,90,363,7187
"Other services, except government",200402,168,343,7187
Professional and business services,200402,650,888,7187
Real estate and rental and leasing,200402,41,98,7187
Retail trade,200402,390,1031,7187
Transportation and warehousing,200402,85,263,7187
Wholesale trade,200402,87,235,7187
Accommodation and food services,200403,391,844,7512
"Arts, entertainment, and recreation",200403,44,159,7512
Construction,200403,128,798,7512
Durable goods,200403,162,645,7512
Educational services,200403,51,119,7512
Finance and insurance,200403,207,239,7512
Government,200403,364,585,7512
Health care and social assistance,200403,560,492,7512
Information,200403,84,212,7512
Mining,200403,10,23,7512
Nondurable goods,200403,89,364,7512
"Other services, except government",200403,176,350,7512
Professional and business services,200403,589,957,7512
Real estate and rental and leasing,200403,29,103,7512
Retail trade,200403,387,1085,7512
Transportation and warehousing,200403,135,255,7512
Wholesale trade,200403,103,282,7512
Accommodation and food services,200501,460,797,6667
"Arts, entertainment, and recreation",200501,63,117,6667
Construction,200501,167,792,6667
Durable goods,200501,200,512,6667
Educational services,200501,63,143,6667
Finance and insurance,200501,229,180,6667
Government,200501,384,561,6667
Health care and social assistance,200501,566,468,6667
Information,200501,101,162,6667
Mining,200501,12,22,6667
Nondurable goods,200501,93,327,6667
"Other services, except government",200501,166,291,6667
Professional and business services,200501,686,831,6667
Real estate and rental and leasing,200501,49,81,6667
Retail trade,200501,445,979,6667
Transportation and warehousing,200501,95,231,6667
Wholesale trade,200501,113,173,6667
Accommodation and food services,200512,494,824,6230
"Arts, entertainment, and recreation",200512,59,163,6230
Construction,200512,182,742,6230
Durable goods,200512,256,467,6230
Educational services,200512,69,94,6230
Finance and insurance,200512,321,148,6230
Government,200512,454,447,6230
Health care and social assistance,200512,608,478,6230
Information,200512,112,136,6230
Mining,200512,14,22,6230
Nondurable goods,200512,109,302,6230
"Other services, except government",200512,95,300,6230
Professional and business services,200512,862,761,6230
Real estate and rental and leasing,200512,84,76,6230
Retail trade,200512,468,881,6230
Transportation and warehousing,200512,129,224,6230
Wholesale trade,200512,137,165,6230
Accommodation and food services,200511,477,810,6450
"Arts, entertainment, and recreation",200511,68,145,6450
Construction,200511,201,629,6450
Durable goods,200511,255,484,6450
Educational services,200511,76,138,6450
Finance and insurance,200511,290,189,6450
Government,200511,403,539,6450
Health care and social assistance,200511,589,562,6450
Information,200511,121,162,6450
Mining,200511,15,19,6450
Nondurable goods,200511,141,334,6450
"Other services, except government",200511,116,293,6450
Professional and business services,200511,848,757,6450
Real estate and rental and leasing,200511,59,93,6450
Retail trade,200511,553,929,6450
Transportation and warehousing,200511,124,222,6450
Wholesale trade,200511,160,145,6450
Accommodation and food services,200509,451,773,6607
"Arts, entertainment, and recreation",200509,45,158,6607
Construction,200509,158,689,6607
Durable goods,200509,227,476,6607
Educational services,200509,84,130,6607
Finance and insurance,200509,244,194,6607
Government,200509,428,555,6607
Health care and social assistance,200509,610,509,6607
Information,200509,147,164,6607
Mining,200509,18,16,6607
Nondurable goods,200509,102,350,6607
"Other services, except government",200509,176,304,6607
Professional and business services,200509,817,906,6607
Real estate and rental and leasing,200509,89,72,6607
Retail trade,200509,397,922,6607
Transportation and warehousing,200509,133,234,6607
Wholesale trade,200509,145,155,6607
Accommodation and food services,200505,437,779,6527
"Arts, entertainment, and recreation",200505,59,178,6527
Construction,200505,135,651,6527
Durable goods,200505,196,451,6527
Educational services,200505,75,122,6527
Finance and insurance,200505,152,183,6527
Government,200505,379,519,6527
Health care and social assistance,200505,613,567,6527
Information,200505,100,145,6527
Mining,200505,14,17,6527
Nondurable goods,200505,84,315,6527
"Other services, except government",200505,124,328,6527
Professional and business services,200505,788,754,6527
Real estate and rental and leasing,200505,64,103,6527
Retail trade,200505,407,999,6527
Transportation and warehousing,200505,133,235,6527
Wholesale trade,200505,150,181,6527
Accommodation and food services,200506,445,756,6425
"Arts, entertainment, and recreation",200506,80,126,6425
Construction,200506,139,676,6425
Durable goods,200506,184,477,6425
Educational services,200506,76,129,6425
Finance and insurance,200506,247,203,6425
Government,200506,388,575,6425
Health care and social assistance,200506,579,470,6425
Information,200506,109,168,6425
Mining,200506,12,20,6425
Nondurable goods,200506,108,306,6425
"Other services, except government",200506,144,293,6425
Professional and business services,200506,887,747,6425
Real estate and rental and leasing,200506,65,84,6425
Retail trade,200506,414,956,6425
Transportation and warehousing,200506,134,242,6425
Wholesale trade,200506,141,197,6425
Accommodation and food services,200504,523,765,6544
"Arts, entertainment, and recreation",200504,76,153,6544
Construction,200504,138,666,6544
Durable goods,200504,210,451,6544
Educational services,200504,64,121,6544
Finance and insurance,200504,241,164,6544
Government,200504,392,586,6544
Health care and social assistance,200504,585,494,6544
Information,200504,118,181,6544
Mining,200504,11,20,6544
Nondurable goods,200504,84,323,6544
"Other services, except government",200504,153,317,6544
Professional and business services,200504,792,786,6544
Real estate and rental and leasing,200504,77,98,6544
Retail trade,200504,470,974,6544
Transportation and warehousing,200504,116,250,6544
Wholesale trade,200504,146,195,6544
Accommodation and food services,200510,431,732,6392
"Arts, entertainment, and recreation",200510,67,121,6392
Construction,200510,186,628,6392
Durable goods,200510,202,505,6392
Educational services,200510,76,143,6392
Finance and insurance,200510,302,160,6392
Government,200510,396,531,6392
Health care and social assistance,200510,588,511,6392
Information,200510,100,165,6392
Mining,200510,17,3,6392
Nondurable goods,200510,83,331,6392
"Other services, except government",200510,228,333,6392
Professional and business services,200510,823,767,6392
Real estate and rental and leasing,200510,49,97,6392
Retail trade,200510,454,918,6392
Transportation and warehousing,200510,124,268,6392
Wholesale trade,200510,182,179,6392
Accommodation and food services,200502,442,794,6881
"Arts, entertainment, and recreation",200502,62,139,6881
Construction,200502,144,845,6881
Durable goods,200502,189,491,6881
Educational services,200502,38,170,6881
Finance and insurance,200502,218,204,6881
Government,200502,375,540,6881
Health care and social assistance,200502,576,491,6881
Information,200502,94,196,6881
Mining,200502,11,22,6881
Nondurable goods,200502,96,333,6881
"Other services, except government",200502,128,309,6881
Professional and business services,200502,685,836,6881
Real estate and rental and leasing,200502,61,82,6881
Retail trade,200502,443,988,6881
Transportation and warehousing,200502,111,220,6881
Wholesale trade,200502,159,221,6881
Accommodation and food services,200508,415,713,6353
"Arts, entertainment, and recreation",200508,63,150,6353
Construction,200508,156,686,6353
Durable goods,200508,208,473,6353
Educational services,200508,67,112,6353
Finance and insurance,200508,267,190,6353
Government,200508,398,523,6353
Health care and social assistance,200508,601,467,6353
Information,200508,112,152,6353
Mining,200508,13,15,6353
Nondurable goods,200508,92,332,6353
"Other services, except government",200508,149,284,6353
Professional and business services,200508,827,791,6353
Real estate and rental and leasing,200508,53,100,6353
Retail trade,200508,423,976,6353
Transportation and warehousing,200508,116,206,6353
Wholesale trade,200508,140,183,6353
Accommodation and food services,200503,433,794,6629
"Arts, entertainment, and recreation",200503,60,152,6629
Construction,200503,151,752,6629
Durable goods,200503,179,488,6629
Educational services,200503,67,149,6629
Finance and insurance,200503,215,168,6629
Government,200503,372,519,6629
Health care and social assistance,200503,605,499,6629
Information,200503,96,177,6629
Mining,200503,16,33,6629
Nondurable goods,200503,105,339,6629
"Other services, except government",200503,170,299,6629
Professional and business services,200503,736,765,6629
Real estate and rental and leasing,200503,24,89,6629
Retail trade,200503,461,971,6629
Transportation and warehousing,200503,106,239,6629
Wholesale trade,200503,134,196,6629
Accommodation and food services,200507,420,768,6375
"Arts, entertainment, and recreation",200507,104,148,6375
Construction,200507,160,628,6375
Durable goods,200507,213,539,6375
Educational services,200507,63,114,6375
Finance and insurance,200507,264,212,6375
Government,200507,414,512,6375
Health care and social assistance,200507,636,456,6375
Information,200507,108,154,6375
Mining,200507,12,18,6375
Nondurable goods,200507,107,318,6375
"Other services, except government",200507,158,256,6375
Professional and business services,200507,813,809,6375
Real estate and rental and leasing,200507,57,90,6375
Retail trade,200507,419,940,6375
Transportation and warehousing,200507,119,217,6375
Wholesale trade,200507,148,196,6375
Accommodation and food services,200603,499,744,6060
"Arts, entertainment, and recreation",200603,68,163,6060
Construction,200603,191,641,6060
Durable goods,200603,264,394,6060
Educational services,200603,87,109,6060
Finance and insurance,200603,297,206,6060
Government,200603,440,514,6060
Health care and social assistance,200603,660,478,6060
Information,200603,133,118,6060
Mining,200603,20,14,6060
Nondurable goods,200603,124,270,6060
"Other services, except government",200603,207,293,6060
Professional and business services,200603,801,775,6060
Real estate and rental and leasing,200603,65,82,6060
Retail trade,200603,431,885,6060
Transportation and warehousing,200603,125,236,6060
Wholesale trade,200603,189,138,6060
Accommodation and food services,200612,553,590,5795
"Arts, entertainment, and recreation",200612,67,144,5795
Construction,200612,122,663,5795
Durable goods,200612,245,403,5795
Educational services,200612,72,99,5795
Finance and insurance,200612,209,138,5795
Government,200612,461,450,5795
Health care and social assistance,200612,690,443,5795
Information,200612,196,118,5795
Mining,200612,13,24,5795
Nondurable goods,200612,126,269,5795
"Other services, except government",200612,227,335,5795
Professional and business services,200612,703,770,5795
Real estate and rental and leasing,200612,74,107,5795
Retail trade,200612,547,870,5795
Transportation and warehousing,200612,169,210,5795
Wholesale trade,200612,197,162,5795
Accommodation and food services,200608,522,731,6053
"Arts, entertainment, and recreation",200608,49,142,6053
Construction,200608,207,761,6053
Durable goods,200608,214,439,6053
Educational services,200608,68,124,6053
Finance and insurance,200608,227,174,6053
Government,200608,467,465,6053
Health care and social assistance,200608,707,424,6053
Information,200608,178,127,6053
Mining,200608,23,38,6053
Nondurable goods,200608,124,276,6053
"Other services, except government",200608,190,317,6053
Professional and business services,200608,736,727,6053
Real estate and rental and leasing,200608,66,80,6053
Retail trade,200608,433,855,6053
Transportation and warehousing,200608,150,236,6053
Wholesale trade,200608,167,137,6053
Accommodation and food services,200606,457,734,6012
"Arts, entertainment, and recreation",200606,58,149,6012
Construction,200606,189,685,6012
Durable goods,200606,233,398,6012
Educational services,200606,43,109,6012
Finance and insurance,200606,278,201,6012
Government,200606,466,486,6012
Health care and social assistance,200606,677,455,6012
Information,200606,145,117,6012
Mining,200606,20,24,6012
Nondurable goods,200606,124,272,6012
"Other services, except government",200606,186,266,6012
Professional and business services,200606,701,759,6012
Real estate and rental and leasing,200606,92,84,6012
Retail trade,200606,420,906,6012
Transportation and warehousing,200606,146,220,6012
Wholesale trade,200606,152,147,6012
Accommodation and food services,200605,503,690,6069
"Arts, entertainment, and recreation",200605,55,144,6069
Construction,200605,168,726,6069
Durable goods,200605,205,389,6069
Educational services,200605,68,103,6069
Finance and insurance,200605,290,197,6069
Government,200605,448,495,6069
Health care and social assistance,200605,624,473,6069
Information,200605,139,158,6069
Mining,200605,17,21,6069
Nondurable goods,200605,111,301,6069
"Other services, except government",200605,183,275,6069
Professional and business services,200605,928,717,6069
Real estate and rental and leasing,200605,59,89,6069
Retail trade,200605,471,905,6069
Transportation and warehousing,200605,171,237,6069
Wholesale trade,200605,159,149,6069
Accommodation and food services,200602,517,797,6159
"Arts, entertainment, and recreation",200602,45,168,6159
Construction,200602,144,621,6159
Durable goods,200602,267,439,6159
Educational services,200602,81,106,6159
Finance and insurance,200602,328,166,6159
Government,200602,427,541,6159
Health care and social assistance,200602,653,459,6159
Information,200602,116,113,6159
Mining,200602,16,22,6159
Nondurable goods,200602,110,319,6159
"Other services, except government",200602,79,268,6159
Professional and business services,200602,832,760,6159
Real estate and rental and leasing,200602,49,85,6159
Retail trade,200602,422,913,6159
Transportation and warehousing,200602,113,232,6159
Wholesale trade,200602,156,150,6159
Accommodation and food services,200611,644,686,5900
"Arts, entertainment, and recreation",200611,83,141,5900
Construction,200611,134,685,5900
Durable goods,200611,218,425,5900
Educational services,200611,70,122,5900
Finance and insurance,200611,245,150,5900
Government,200611,464,437,5900
Health care and social assistance,200611,708,436,5900
Information,200611,189,132,5900
Mining,200611,17,24,5900
Nondurable goods,200611,121,275,5900
"Other services, except government",200611,166,295,5900
Professional and business services,200611,785,713,5900
Real estate and rental and leasing,200611,64,92,5900
Retail trade,200611,424,943,5900
Transportation and warehousing,200611,161,208,5900
Wholesale trade,200611,182,136,5900
Accommodation and food services,200607,491,704,6182
"Arts, entertainment, and recreation",200607,72,154,6182
Construction,200607,204,769,6182
Durable goods,200607,213,416,6182
Educational services,200607,67,125,6182
Finance and insurance,200607,200,231,6182
Government,200607,494,492,6182
Health care and social assistance,200607,585,467,6182
Information,200607,167,110,6182
Mining,200607,13,22,6182
Nondurable goods,200607,108,309,6182
"Other services, except government",200607,193,291,6182
Professional and business services,200607,624,742,6182
Real estate and rental and leasing,200607,67,95,6182
Retail trade,200607,388,877,6182
Transportation and warehousing,200607,137,230,6182
Wholesale trade,200607,173,148,6182
Accommodation and food services,200601,498,677,5959
"Arts, entertainment, and recreation",200601,67,148,5959
Construction,200601,157,650,5959
Durable goods,200601,245,428,5959
Educational services,200601,68,113,5959
Finance and insurance,200601,289,142,5959
Government,200601,364,461,5959
Health care and social assistance,200601,626,482,5959
Information,200601,139,100,5959
Mining,200601,13,20,5959
Nondurable goods,200601,85,316,5959
"Other services, except government",200601,92,306,5959
Professional and business services,200601,833,717,5959
Real estate and rental and leasing,200601,145,97,5959
Retail trade,200601,451,900,5959
Transportation and warehousing,200601,96,243,5959
Wholesale trade,200601,166,159,5959
Accommodation and food services,200609,435,773,5945
"Arts, entertainment, and recreation",200609,119,124,5945
Construction,200609,174,703,5945
Durable goods,200609,226,389,5945
Educational services,200609,86,127,5945
Finance and insurance,200609,207,135,5945
Government,200609,483,385,5945
Health care and social assistance,200609,701,424,5945
Information,200609,173,163,5945
Mining,200609,18,19,5945
Nondurable goods,200609,122,281,5945
"Other services, except government",200609,236,302,5945
Professional and business services,200609,720,773,5945
Real estate and rental and leasing,200609,49,107,5945
Retail trade,200609,458,898,5945
Transportation and warehousing,200609,170,201,5945
Wholesale trade,200609,245,141,5945
Accommodation and food services,200610,517,696,5703
"Arts, entertainment, and recreation",200610,84,152,5703
Construction,200610,180,545,5703
Durable goods,200610,237,380,5703
Educational services,200610,69,118,5703
Finance and insurance,200610,243,166,5703
Government,200610,456,451,5703
Health care and social assistance,200610,766,426,5703
Information,200610,167,119,5703
Mining,200610,18,21,5703
Nondurable goods,200610,133,262,5703
"Other services, except government",200610,164,281,5703
Professional and business services,200610,779,791,5703
Real estate and rental and leasing,200610,62,48,5703
Retail trade,200610,429,903,5703
Transportation and warehousing,200610,170,225,5703
Wholesale trade,200610,198,119,5703
Accommodation and food services,200604,515,778,6108
"Arts, entertainment, and recreation",200604,70,142,6108
Construction,200604,188,650,6108
Durable goods,200604,248,414,6108
Educational services,200604,67,118,6108
Finance and insurance,200604,360,219,6108
Government,200604,440,513,6108
Health care and social assistance,200604,671,461,6108
Information,200604,183,134,6108
Mining,200604,19,18,6108
Nondurable goods,200604,131,309,6108
"Other services, except government",200604,150,281,6108
Professional and business services,200604,732,711,6108
Real estate and rental and leasing,200604,56,81,6108
Retail trade,200604,466,869,6108
Transportation and warehousing,200604,175,263,6108
Wholesale trade,200604,182,147,6108
Accommodation and food services,200702,470,645,5972
"Arts, entertainment, and recreation",200702,76,173,5972
Construction,200702,285,818,5972
Durable goods,200702,247,451,5972
Educational services,200702,64,124,5972
Finance and insurance,200702,210,158,5972
Government,200702,458,464,5972
Health care and social assistance,200702,618,406,5972
Information,200702,200,134,5972
Mining,200702,16,30,5972
Nondurable goods,200702,125,263,5972
"Other services, except government",200702,242,244,5972
Professional and business services,200702,655,744,5972
Real estate and rental and leasing,200702,53,115,5972
Retail trade,200702,431,849,5972
Transportation and warehousing,200702,172,222,5972
Wholesale trade,200702,144,132,5972
Accommodation and food services,200712,567,825,6601
"Arts, entertainment, and recreation",200712,47,172,6601
Construction,200712,136,889,6601
Durable goods,200712,162,470,6601
Educational services,200712,69,141,6601
Finance and insurance,200712,207,240,6601
Government,200712,460,514,6601
Health care and social assistance,200712,700,427,6601
Information,200712,98,138,6601
Mining,200712,19,23,6601
Nondurable goods,200712,138,314,6601
"Other services, except government",200712,141,254,6601
Professional and business services,200712,746,793,6601
Real estate and rental and leasing,200712,84,94,6601
Retail trade,200712,420,955,6601
Transportation and warehousing,200712,141,229,6601
Wholesale trade,200712,248,123,6601
Accommodation and food services,200704,491,695,5922
"Arts, entertainment, and recreation",200704,88,164,5922
Construction,200704,188,822,5922
Durable goods,200704,230,464,5922
Educational services,200704,67,152,5922
Finance and insurance,200704,162,169,5922
Government,200704,439,509,5922
Health care and social assistance,200704,695,437,5922
Information,200704,175,78,5922
Mining,200704,18,17,5922
Nondurable goods,200704,142,261,5922
"Other services, except government",200704,208,242,5922
Professional and business services,200704,809,755,5922
Real estate and rental and leasing,200704,74,66,5922
Retail trade,200704,409,785,5922
Transportation and warehousing,200704,175,181,5922
Wholesale trade,200704,288,125,5922
Accommodation and food services,200711,606,823,6166
"Arts, entertainment, and recreation",200711,104,162,6166
Construction,200711,125,704,6166
Durable goods,200711,193,446,6166
Educational services,200711,65,133,6166
Finance and insurance,200711,198,192,6166
Government,200711,484,526,6166
Health care and social assistance,200711,659,421,6166
Information,200711,105,132,6166
Mining,200711,20,18,6166
Nondurable goods,200711,137,320,6166
"Other services, except government",200711,217,244,6166
Professional and business services,200711,775,745,6166
Real estate and rental and leasing,200711,51,85,6166
Retail trade,200711,429,796,6166
Transportation and warehousing,200711,180,278,6166
Wholesale trade,200711,165,141,6166
Accommodation and food services,200706,520,698,5952
"Arts, entertainment, and recreation",200706,71,170,5952
Construction,200706,167,719,5952
Durable goods,200706,231,423,5952
Educational services,200706,80,170,5952
Finance and insurance,200706,208,223,5952
Government,200706,460,480,5952
Health care and social assistance,200706,710,409,5952
Information,200706,166,115,5952
Mining,200706,11,26,5952
Nondurable goods,200706,127,264,5952
"Other services, except government",200706,271,255,5952
Professional and business services,200706,812,728,5952
Real estate and rental and leasing,200706,68,71,5952
Retail trade,200706,444,832,5952
Transportation and warehousing,200706,139,240,5952
Wholesale trade,200706,210,129,5952
Accommodation and food services,200705,515,716,5852
"Arts, entertainment, and recreation",200705,59,110,5852
Construction,200705,182,741,5852
Durable goods,200705,221,454,5852
Educational services,200705,62,185,5852
Finance and insurance,200705,239,191,5852
Government,200705,470,498,5852
Health care and social assistance,200705,705,478,5852
Information,200705,172,108,5852
Mining,200705,14,24,5852
Nondurable goods,200705,152,203,5852
"Other services, except government",200705,173,252,5852
Professional and business services,200705,806,763,5852
Real estate and rental and leasing,200705,55,87,5852
Retail trade,200705,378,691,5852
Transportation and warehousing,200705,148,225,5852
Wholesale trade,200705,195,126,5852
Accommodation and food services,200710,570,854,6081
"Arts, entertainment, and recreation",200710,70,119,6081
Construction,200710,143,753,6081
Durable goods,200710,172,455,6081
Educational services,200710,74,114,6081
Finance and insurance,200710,213,202,6081
Government,200710,459,524,6081
Health care and social assistance,200710,688,425,6081
Information,200710,109,125,6081
Mining,200710,13,12,6081
Nondurable goods,200710,121,305,6081
"Other services, except government",200710,231,190,6081
Professional and business services,200710,770,696,6081
Real estate and rental and leasing,200710,76,113,6081
Retail trade,200710,363,814,6081
Transportation and warehousing,200710,159,242,6081
Wholesale trade,200710,215,138,6081
Accommodation and food services,200703,516,685,5713
"Arts, entertainment, and recreation",200703,67,159,5713
Construction,200703,203,723,5713
Durable goods,200703,249,436,5713
Educational services,200703,60,138,5713
Finance and insurance,200703,255,128,5713
Government,200703,450,470,5713
Health care and social assistance,200703,665,389,5713
Information,200703,175,113,5713
Mining,200703,17,23,5713
Nondurable goods,200703,136,269,5713
"Other services, except government",200703,165,229,5713
Professional and business services,200703,863,721,5713
Real estate and rental and leasing,200703,63,111,5713
Retail trade,200703,422,736,5713
Transportation and warehousing,200703,182,225,5713
Wholesale trade,200703,238,158,5713
Accommodation and food services,200709,570,782,6221
"Arts, entertainment, and recreation",200709,71,203,6221
Construction,200709,121,715,6221
Durable goods,200709,185,434,6221
Educational services,200709,83,101,6221
Finance and insurance,200709,254,203,6221
Government,200709,445,508,6221
Health care and social assistance,200709,760,493,6221
Information,200709,121,118,6221
Mining,200709,13,31,6221
Nondurable goods,200709,138,278,6221
"Other services, except government",200709,203,249,6221
Professional and business services,200709,754,687,6221
Real estate and rental and leasing,200709,44,123,6221
Retail trade,200709,415,885,6221
Transportation and warehousing,200709,165,244,6221
Wholesale trade,200709,178,167,6221
Accommodation and food services,200708,553,747,6069
"Arts, entertainment, and recreation",200708,60,146,6069
Construction,200708,155,689,6069
Durable goods,200708,210,352,6069
Educational services,200708,77,128,6069
Finance and insurance,200708,261,228,6069
Government,200708,485,540,6069
Health care and social assistance,200708,712,455,6069
Information,200708,122,134,6069
Mining,200708,11,36,6069
Nondurable goods,200708,112,279,6069
"Other services, except government",200708,152,221,6069
Professional and business services,200708,794,717,6069
Real estate and rental and leasing,200708,72,135,6069
Retail trade,200708,408,891,6069
Transportation and warehousing,200708,163,220,6069
Wholesale trade,200708,227,151,6069
Accommodation and food services,200707,556,739,6145
"Arts, entertainment, and recreation",200707,60,171,6145
Construction,200707,180,739,6145
Durable goods,200707,230,356,6145
Educational services,200707,60,167,6145
Finance and insurance,200707,242,208,6145
Government,200707,451,523,6145
Health care and social assistance,200707,678,412,6145
Information,200707,157,116,6145
Mining,200707,13,31,6145
Nondurable goods,200707,144,263,6145
"Other services, except government",200707,149,236,6145
Professional and business services,200707,724,756,6145
Real estate and rental and leasing,200707,71,102,6145
Retail trade,200707,441,897,6145
Transportation and warehousing,200707,159,296,6145
Wholesale trade,200707,208,133,6145
Accommodation and food services,200701,483,656,5986
"Arts, entertainment, and recreation",200701,76,163,5986
Construction,200701,294,708,5986
Durable goods,200701,230,501,5986
Educational services,200701,59,131,5986
Finance and insurance,200701,217,141,5986
Government,200701,442,480,5986
Health care and social assistance,200701,691,438,5986
Information,200701,166,134,5986
Mining,200701,15,28,5986
Nondurable goods,200701,145,222,5986
"Other services, except government",200701,197,269,5986
Professional and business services,200701,777,773,5986
Real estate and rental and leasing,200701,46,99,5986
Retail trade,200701,460,864,5986
Transportation and warehousing,200701,186,212,5986
Wholesale trade,200701,212,167,5986
Accommodation and food services,200808,341,945,8119
"Arts, entertainment, and recreation",200808,51,201,8119
Construction,200808,84,1007,8119
Durable goods,200808,143,652,8119
Educational services,200808,66,206,8119
Finance and insurance,200808,146,276,8119
Government,200808,461,558,8119
Health care and social assistance,200808,605,542,8119
Information,200808,87,138,8119
Mining,200808,27,17,8119
Nondurable goods,200808,109,362,8119
"Other services, except government",200808,202,385,8119
Professional and business services,200808,624,997,8119
Real estate and rental and leasing,200808,37,125,8119
Retail trade,200808,356,1189,8119
Transportation and warehousing,200808,108,326,8119
Wholesale trade,200808,90,193,8119
Accommodation and food services,200807,363,947,7606
"Arts, entertainment, and recreation",200807,50,210,7606
Construction,200807,102,929,7606
Durable goods,200807,133,588,7606
Educational services,200807,81,170,7606
Finance and insurance,200807,136,235,7606
Government,200807,415,570,7606
Health care and social assistance,200807,624,517,7606
Information,200807,70,139,7606
Mining,200807,24,13,7606
Nondurable goods,200807,99,321,7606
"Other services, except government",200807,198,349,7606
Professional and business services,200807,625,890,7606
Real estate and rental and leasing,200807,61,122,7606
Retail trade,200807,351,1085,7606
Transportation and warehousing,200807,120,343,7606
Wholesale trade,200807,102,178,7606
Accommodation and food services,200812,287,1075,9824
"Arts, entertainment, and recreation",200812,38,174,9824
Construction,200812,74,1318,9824
Durable goods,200812,85,857,9824
Educational services,200812,65,269,9824
Finance and insurance,200812,139,367,9824
Government,200812,337,584,9824
Health care and social assistance,200812,560,596,9824
Information,200812,57,243,9824
Mining,200812,18,43,9824
Nondurable goods,200812,71,475,9824
"Other services, except government",200812,200,395,9824
Professional and business services,200812,531,1154,9824
Real estate and rental and leasing,200812,44,194,9824
Retail trade,200812,299,1386,9824
Transportation and warehousing,200812,78,455,9824
Wholesale trade,200812,73,239,9824
Accommodation and food services,200811,274,1014,9238
"Arts, entertainment, and recreation",200811,32,273,9238
Construction,200811,71,1335,9238
Durable goods,200811,95,753,9238
Educational services,200811,70,228,9238
Finance and insurance,200811,118,340,9238
Government,200811,375,576,9238
Health care and social assistance,200811,556,565,9238
Information,200811,63,179,9238
Mining,200811,13,35,9238
Nondurable goods,200811,73,416,9238
"Other services, except government",200811,186,417,9238
Professional and business services,200811,529,1092,9238
Real estate and rental and leasing,200811,57,179,9238
Retail trade,200811,395,1214,9238
Transportation and warehousing,200811,76,379,9238
Wholesale trade,200811,85,243,9238
Accommodation and food services,200805,470,880,7044
"Arts, entertainment, and recreation",200805,65,187,7044
Construction,200805,140,868,7044
Durable goods,200805,168,570,7044
Educational services,200805,59,196,7044
Finance and insurance,200805,140,235,7044
Government,200805,447,539,7044
Health care and social assistance,200805,662,462,7044
Information,200805,89,166,7044
Mining,200805,20,31,7044
Nondurable goods,200805,115,306,7044
"Other services, except government",200805,210,285,7044
Professional and business services,200805,669,842,7044
Real estate and rental and leasing,200805,69,124,7044
Retail trade,200805,368,898,7044
Transportation and warehousing,200805,103,281,7044
Wholesale trade,200805,158,174,7044
Accommodation and food services,200802,477,828,6429
"Arts, entertainment, and recreation",200802,71,162,6429
Construction,200802,135,851,6429
Durable goods,200802,152,443,6429
Educational services,200802,54,175,6429
Finance and insurance,200802,185,194,6429
Government,200802,427,427,6429
Health care and social assistance,200802,711,437,6429
Information,200802,76,189,6429
Mining,200802,19,15,6429
Nondurable goods,200802,126,318,6429
"Other services, except government",200802,124,295,6429
Professional and business services,200802,753,785,6429
Real estate and rental and leasing,200802,50,103,6429
Retail trade,200802,364,836,6429
Transportation and warehousing,200802,144,254,6429
Wholesale trade,200802,178,117,6429
Accommodation and food services,200806,399,922,7287
"Arts, entertainment, and recreation",200806,48,180,7287
Construction,200806,111,926,7287
Durable goods,200806,153,559,7287
Educational services,200806,54,130,7287
Finance and insurance,200806,147,190,7287
Government,200806,422,546,7287
Health care and social assistance,200806,659,487,7287
Information,200806,90,155,7287
Mining,200806,22,24,7287
Nondurable goods,200806,100,338,7287
"Other services, except government",200806,129,316,7287
Professional and business services,200806,709,902,7287
Real estate and rental and leasing,200806,42,138,7287
Retail trade,200806,305,976,7287
Transportation and warehousing,200806,114,329,7287
Wholesale trade,200806,134,169,7287
Accommodation and food services,200810,315,934,8670
"Arts, entertainment, and recreation",200810,42,254,8670
Construction,200810,62,1246,8670
Durable goods,200810,115,654,8670
Educational services,200810,59,228,8670
Finance and insurance,200810,100,323,8670
Government,200810,394,590,8670
Health care and social assistance,200810,551,569,8670
Information,200810,77,179,8670
Mining,200810,15,19,8670
Nondurable goods,200810,95,398,8670
"Other services, except government",200810,146,341,8670
Professional and business services,200810,547,1085,8670
Real estate and rental and leasing,200810,31,121,8670
Retail trade,200810,345,1135,8670
Transportation and warehousing,200810,104,355,8670
Wholesale trade,200810,72,239,8670
Accommodation and food services,200809,334,920,8266
"Arts, entertainment, and recreation",200809,37,211,8266
Construction,200809,108,1162,8266
Durable goods,200809,130,729,8266
Educational services,200809,50,211,8266
Finance and insurance,200809,122,279,8266
Government,200809,449,553,8266
Health care and social assistance,200809,526,574,8266
Information,200809,64,157,8266
Mining,200809,17,30,8266
Nondurable goods,200809,85,309,8266
"Other services, except government",200809,126,362,8266
Professional and business services,200809,576,993,8266
Real estate and rental and leasing,200809,60,112,8266
Retail trade,200809,280,1084,8266
Transportation and warehousing,200809,99,364,8266
Wholesale trade,200809,98,216,8266
Accommodation and food services,200803,485,802,6618
"Arts, entertainment, and recreation",200803,63,145,6618
Construction,200803,94,930,6618
Durable goods,200803,149,480,6618
Educational services,200803,59,158,6618
