short_names,accom,const,dur,edhealth,fin,gov,info,mining,nondur,other,profserv,trade,trans
accom,0.028739887249239534,0.0019040243929260756,0.017349088664752772,0.0032798612661620176,0.09854028081410841,0.006828815311428723,0.0364592242284402,0.007832931879839054,0.10253964529142995,0.013619671105305146,0.1426889557016489,0.00010754683235444744,0.030323445351135046
const,0.0006551485926590213,0.00013818205096998565,0.281701636501365,2.5124017427144774e-06,0.03316828074902198,0.0008702649487273814,0.01612835597001062,0.022340707320588554,0.08851785180454443,0.005775331072746165,0.07249395676615657,5.728274112937588e-05,0.004401618252800503
dur,0.001266948089575998,0.0006832505654826722,0.39269488190051055,0.0,0.01609469623132941,0.0012419298461621314,0.012138116847181172,0.012846604625165415,0.05584377309816526,0.002626634366181533,0.05456658366766299,0.004264006949017716,0.011749760461457849
edhealth,0.019405309288559713,0.0004388677339612083,0.029750898826227116,0.014857222928895094,0.1031197906351408,0.0056032750381628145,0.028151756160451367,0.0040182789407954365,0.05575218959540202,0.009383037224572273,0.10092329115915392,0.00018883675031711143,0.012141756207204849
fin,0.01141024506659363,0.023377673788374936,0.00660457174402077,8.50277482089315e-06,0.1949237912136137,0.005204949335163739,0.0204352985812836,0.0006435418620679877,0.008491097901978622,0.00496287080901765,0.08296343290012011,0.0014398873400768794,0.022145573128140774
gov,0.005723309193345467,0.023351798088044287,0.0477991770468422,0.010646985154534971,0.0549539647875224,0.004490413041189899,0.032262384391807356,0.01294939079428132,0.08139562692024056,0.011611230127375097,0.07201439693364643,9.185785650577967e-06,0.017273160017665466
info,0.016518821323067888,0.0012365853822089488,0.04042522741938697,0.00011032903023992879,0.0472544114345356,0.0030451499291416894,0.12468451633217398,0.0017834247484544692,0.014658671266882396,0.0053238127416009315,0.15955621291313485,0.0013730330773325146,0.012975935800540472
mining,0.0008592144594270192,0.0052368759725279915,0.09987904901356388,0.0,0.05989958778772969,0.0020083730125451736,0.01707381485306153,0.1279633859375366,0.05578893595212895,0.0012186164218748665,0.09000167503439797,0.0003155719451925088,0.02221205454129644
nondur,0.0013266149725398141,0.0032354678983901775,0.04430120300035493,1.8683350698473053e-05,0.019921139337190925,0.0020268894810269015,0.00845304100395007,0.12379610246757958,0.3774531040108429,0.0033053795405178815,0.039658936221498464,0.0036724956988757195,0.021153534718753735
other,0.012990909339607419,0.004946818437703371,0.06619073383855079,0.009563762688074831,0.11293178511823147,0.005330297132817445,0.03334324321034797,0.0034636199351194582,0.03164306897249068,0.01260102030712196,0.08638849281654185,7.91169118526698e-05,0.01237554434918248
profserv,0.01993118198991163,0.00040417950923918994,0.028746072113548394,0.0005212987531788463,0.07040978924600642,0.004127969004731078,0.054212865423038714,0.00233101941180509,0.026038977343606693,0.008458970626804903,0.17631777096716245,7.201240399562659e-05,0.016980325213428932
trade,0.00598700797684034,0.0017774387942335254,0.024764276619499374,0.0020969197643588137,0.10385148710413675,0.008975279654075527,0.03786069149624928,0.0021597565492963095,0.031172303258355998,0.015419792284810665,0.1586295829931164,0.020868048832066353,0.06343373259227578
trans,0.014184252217600942,0.0073908117338404465,0.021501134958447583,0.0002093016690734759,0.08021852158254947,0.015394365216754214,0.024881337709077102,0.029913241935999393,0.08006626249809909,0.010654102664098983,0.09270006966134223,0.0009445157703024351,0.1289444870777607
