OCC_TITLE,accom,const,dur,edhealth,fin,gov,info,mining,nondur,other,profserv,trade,trans
Eng,0.0007187340310177358,0.038903037378324144,0.2663138084179127,0.009418323978712178,0.0036975334543686983,0.11910627708235529,0.016078038728547035,0.009862858899630662,0.043344232055537786,0.005051910876980154,0.44052995209824636,0.026559922891886613,0.020415370106480653
Arts,0.0849683684303663,0.005867324367368607,0.02168863917890639,0.15215780392850822,0.020433330384002833,0.03984361175013272,0.22888648026897895,0.00017142983542735798,0.024237966731551937,0.04372013802866749,0.24427645549460272,0.1325982127057158,0.0011502388957706602
Clean,0.14581386292834891,0.009472352024922118,0.006303543613707165,0.2068243769470405,0.031400895638629286,0.049644665109034265,0.0010562694704049844,0.00024338006230529595,0.010883956386292835,0.020112928348909657,0.4730383566978193,0.03407564252336449,0.009813084112149532
Bus Ops,0.017616503563361172,0.04474428072396098,0.044314500428097085,0.08828562547620891,0.2069835370581707,0.12478104208817117,0.03380003209325447,0.0024821775834228243,0.017631091406301723,0.03156809212335031,0.32129836290737956,0.06119600113560746,0.005298753412713642
Soc S,0.0006414339210132849,9.485994606534496e-05,1.80685611553038e-05,0.6879875688299252,0.009196897628049634,0.2354965918176521,0.00035685408281725006,0.0,6.775710433238925e-05,0.048012684129931024,0.017056721730606787,0.0010705622484517502,0.0
Math,0.0032136306446967516,0.004136141867500536,0.05310069881307887,0.07624793463596538,0.10341653980332753,0.05956910496921714,0.14219232843131946,0.0012213528865289542,0.008408711451049518,0.008856973946637273,0.4880170989404114,0.04748767278137134,0.004131810828895823
Cons,0.0016669630156472262,0.7518088685851844,0.02940864700733122,0.009661546668125616,0.005305216653900865,0.07597931940037203,0.001008726337673706,0.032865671845935,0.003790417441733231,0.002403846153846154,0.06179560126928548,0.011543932596564176,0.012617627749206696
Educ,0.005522096321084934,2.68596327799842e-05,3.906855677088611e-05,0.955410567800428,0.00012941459430356025,0.023687754327147887,0.0020242395976915366,0.0,1.0988031591811719e-05,0.006528111657935251,0.005546514169066738,0.001017003368442129,8.546246793631337e-06
Agg,0.008613746196527654,0.0023492035081439057,0.01662341149096116,0.014632181850724898,0.0012305351709325219,0.04602201539287632,0.0,0.0002908537676749597,0.054926615357078934,0.005347234651870414,0.045664041524968675,0.15287721496330767,0.0008501879362806515
Food S,0.84227233589499,7.14548566079665e-05,5.627069957877362e-05,0.07623607970074706,0.0016506071876440263,0.005404666716685066,0.0012442076906862168,8.038671368396232e-06,0.008921138847504617,0.005593128900988578,0.008706774277680717,0.04982815106985784,0.0
Health P,0.0012622095153980457,1.4795963661113248e-05,0.0007147588599368554,0.8159689421341243,0.007250022193945492,0.051757419037625,0.000523549483393238,0.0,0.0004552604203419461,0.0015854444138408274,0.054842946536492534,0.06559961211812187,1.0243359457693788e-05
Health S,0.0013240839354077315,0.0,0.0001711916300927616,0.9225183652259805,0.00047873057618860775,0.02064146867268918,5.756886675685789e-05,0.0,7.574850889060249e-05,0.008377785083300636,0.04026487738588866,0.00609018011480444,0.0
Repair,0.03713742929770398,0.11779679716132412,0.061604504855204925,0.05854230836157239,0.07866633897994951,0.07373489307426948,0.03893133468354612,0.008104864533234788,0.04839956731002094,0.11706129595312884,0.07095433972621416,0.19905712332920136,0.08832113776655191
Legal,0.0006799772207631044,0.0017934399197626879,0.0038758701583496953,0.010310154609820571,0.06220941598456452,0.2275798760741515,0.0108201375253929,0.0010709641227018894,0.0013259555804880536,0.007751740316699391,0.66586769343227,0.0057203083696696164,0.0009944666853660402
Science,0.0020275300565490806,0.013883828863791164,0.024924363624843578,0.225277597376883,0.0032709762240420714,0.2644184315154203,0.002779933788471591,0.00902092474378673,0.0848157006858754,0.011452376803788947,0.33029731827469866,0.016616242416562385,0.008292281129714403
Manag,0.060648131520821734,0.06007461346454289,0.054892748756442254,0.17347518271768994,0.10968897588306067,0.07020601756244725,0.03485328712266777,0.0043479627202039975,0.027666915078923267,0.033788182161007055,0.22494029127085316,0.11577657262915941,0.028528875680140786
Admin,0.0313244729480645,0.03722957491025677,0.032807032787360045,0.20659878477089177,0.1358949431758257,0.08413704689162449,0.019558532697466532,0.0021410502950091888,0.020518671893058966,0.02965939376253796,0.19421096722684805,0.12424649292355008,0.0805833842912047
Care,0.2542778425099274,0.0001948459353189433,1.948459353189433e-05,0.2857493579826431,0.007805528168876869,0.07092392045609537,0.013514514073721909,1.5587674825515466e-05,0.00032734117133582474,0.29607619255454715,0.031319535643166946,0.03365768686699427,0.0035072268357409795
Prod,0.01172688489455913,0.013809417901696354,0.44951314398259756,0.010568468475968805,0.001516407529468853,0.019976141854869692,0.0022692592676286836,0.003956931647484607,0.26886559634064106,0.025466131781166336,0.0941254966977996,0.07804444084999697,0.018634567193504304
Prot S,0.04438497711605408,0.002065392110202139,0.0022779179650200404,0.07727559814054843,0.010320973907213008,0.5764180114165297,0.0009608563295288212,0.00048192482571383243,0.0010536493083929753,0.009722309527444272,0.2553243713275682,0.01796891135875861,0.0017451066670258653
Sales,0.043741565312112686,0.011639774989495536,0.016360559946349915,0.007685419805118635,0.1047866405859265,0.004050158905936587,0.023139239016706812,0.0007151332916423699,0.014700213559319476,0.011368205385074383,0.06807797366830941,0.687265724068686,0.006212909061146159
Trans,0.025241437254794923,0.018784914156961312,0.0399321831687359,0.030095103374781346,0.010033283412170795,0.030607764441733458,0.002093366023387788,0.0052373707765786676,0.04612683772774058,0.027712178785800238,0.10832496698953238,0.3150705739667862,0.3370960123988028
